Foreign_Prisoners_Percentage_2024,Country_Code,eu_countries_gr,Country_En
75.8,LU,Λουξεμβούργο,Luxembourg
53.99,CY,Κύπρος,Cyprus
53.03,AT,Αυστρία,Austria
52.37,MT,Μάλτα,Malta
52.01,EL,Ελλάδα,Greece
48.17,SI,Σλοβενία,Slovenia
45.39,BE,Βέλγιο,Belgium
33.41,EE,Εσθονία,Estonia
32.65,ES,Ισπανία,Spain
32.04,IT,Ιταλια,Italy
25.32,DK,Δανία,Denmark
24.68,FR,Γαλλία,France
23.31,FI,Φινλανδία,Finland
21.75,HR,Κροατία,Croatia
21.53,NL,Ολλανδία,Netherlands
21.34,SE,Σουηδία,Sweden
17.32,PT,Πορτογαλία,Portugal
16.54,IE,Ιρλανδία,Ireland
8.22,CZ,Τσεχία,Czech Rep.
5.16,LV,Λετονία,Latvia
4.6,SK,Σλοβακία,Slovakia
4.11,HU,Ουγγαρία,Hungary
3.68,LT,Λιθουανία,Lithuania
3.66,PL,Πολωνία,Poland
3.16,BG,Βουλγαρία,Bulgaria
1.11,RO,Ρουμανία,Romania
