Country,Pretrial_Prisoners_Percentage_2022
Αυστρία,20.7
Βέλγιο,26.6
Βουλγαρία,8.5
Κύπρος,
Τσεχία,7.5
Γερμανία,24.1
Δανία,30.4
Εσθονία,16.7
Ελλάδα,24.2
Ισπανία,17.6
Φινλανδία,23.0
Γαλλία,26.3
Κροατία,36.9
Ουγγαρία,21.9
Ιρλανδία,22.0
Ιταλια,16.4
Λιθουανία,11.2
Λουξεμβούργο,48.9
Λετονία,22.7
Μάλτα,37.9
Ολλανδία,26.6
Πολωνία,11.4
Πορτογαλία,19.9
Ρουμανία,8.6
Σουηδία,27.0
Σλοβενία,26.9
Σλοβακία,14.6
