date,Greece,EU_Median
2008,4299.0,4528.0
2009,,4971.0
2010,,4829.0
2011,,4975.0
2012,,4951.5
2013,,4846.0
2014,4505.0,3947.0
2015,4497.0,4344.0
2016,4461.0,4321.5
2017,4447.0,4447.0
2018,4535.0,4747.0
2019,4310.0,4310.0
2020,4296.0,4296.0
2021,4240.0,4737.0
2022,4253.0,4371.0
2023,4570.0,4570.0
