Country,Prison_Occupancy_Rate_2024
Κύπρος,227.59
Σλοβενία,134.18
Γαλλία,129.31
Κροατία,122.53
Ιταλια,122.39
Ρουμανία,118.33
Αυστρία,116.66
Βέλγιο,113.96
Ιρλανδία,111.89
Σουηδία,111.75
Φινλανδία,107.02
Ελλάδα,106.58
Ουγγαρία,103.12
Δανία,100.97
Πορτογαλία,99.2
Τσεχία,95.31
Ολλανδία,94.72
Μάλτα,86.05
Γερμανία,81.56
Ισπανία,80.08
Πολωνία,78.4
Λετονία,76.8
Σλοβακία,70.81
Βουλγαρία,67.66
Λουξεμβούργο,67.38
Λιθουανία,67.05
Εσθονία,49.94
