Country,Total_Prisoners_Per_HundredThousand_Habitants_2022
Αυστρία,100.16
Βέλγιο,95.11
Βουλγαρία,86.03
Κύπρος,103.04
Τσεχία,181.16
Γερμανία,69.04
Δανία,71.64
Εσθονία,155.65
Ελλάδα,100.63
Ισπανία,117.4
Φινλανδία,51.57
Γαλλία,105.99
Κροατία,105.92
Ουγγαρία,201.31
Ιρλανδία,84.76
Ιταλια,97.33
Λιθουανία,177.23
Λουξεμβούργο,109.24
Λετονία,172.14
Μάλτα,107.46
Ολλανδία,63.89
Πολωνία,194.43
Πορτογαλία,119.97
Ρουμανία,121.21
Σουηδία,80.5
Σλοβενία,65.49
Σλοβακία,181.04
