Country,Prisoners_Per_Personnel_Ratio_2022
Αυστρία,2.0
Βέλγιο,
Βουλγαρία,2.03
Γαλλία,1.75
Γερμανία,1.53
Δανία,1.53
Ελλάδα,2.47
Εσθονία,1.73
Ιρλανδία,1.34
Ισπανία,1.95
Ιταλια,1.47
Κροατία,1.62
Κύπρος,2.44
Λετονία,1.8
Λιθουανία,2.19
Λουξεμβούργο,0.9
Μάλτα,1.18
Ολλανδία,0.92
Ουγγαρία,2.18
Πολωνία,5.05
Πορτογαλία,2.4
Ρουμανία,1.98
Σλοβακία,1.87
Σλοβενία,1.54
Σουηδία,1.11
Τσεχία,1.76
Φινλανδία,1.35
