Country,Prisoners_Per_Personnel_Ratio_2024
Αυστρία,2.11
Βέλγιο,
Βουλγαρία,1.77
Γαλλία,1.92
Γερμανία,
Δανία,1.47
Ελλάδα,2.58
Εσθονία,1.46
Ιρλανδία,1.46
Ισπανία,1.96
Ιταλια,1.66
Κροατία,1.97
Κύπρος,
Λετονία,2.06
Λιθουανία,2.45
Λουξεμβούργο,0.72
Μάλτα,1.56
Ολλανδία,0.93
Ουγγαρία,1.85
Πολωνία,4.74
Πορτογαλία,2.46
Ρουμανία,2.0
Σλοβακία,1.54
Σλοβενία,2.06
Σουηδία,1.15
Τσεχία,1.86
Φινλανδία,1.53
