date,Αυστρία,Βέλγιο,Βουλγαρία,Κύπρος,Τσεχία,Γερμανία,Δανία,Εσθονία,Ελλάδα,Ισπανία,Φινλανδία,Γαλλία,Κροατία,Ουγγαρία,Ιρλανδία,Ιταλια,Λιθουανία,Λουξεμβούργο,Λετονία,Μάλτα,Ολλανδία,Πολωνία,Πορτογαλία,Ρουμανία,Σουηδία,Σλοβενία,Σλοβακία,ΕΕ_Διάμεσος
2008,8248.0,9811.0,9408.0,652.0,20502.0,73793.0,3451.0,3656.0,11736.0,73558.0,3530.0,62252.0,4734.0,14743.0,3484.0,59284.0,8000.0,762.0,6548.0,662.0,14610.0,84978.0,10807.0,26212.0,7073.0,1318.0,8166.0,8248.0
2009,8708.0,10126.0,9006.0,578.0,21853.0,72295.0,3721.0,3555.0,11364.0,76079.0,3589.0,60978.0,4891.0,15432.0,3868.0,65598.0,8655.0,702.0,7055.0,494.0,14364.0,85749.0,11287.0,26716.0,7286.0,1365.0,9316.0,9006.0
2010,8540.0,10526.0,9379.0,636.0,21900.0,70827.0,3944.0,3393.0,12349.0,73929.0,3364.0,60544.0,5165.0,16328.0,4318.0,69263.0,9139.0,681.0,6780.0,584.0,14368.0,82372.0,11839.0,28244.0,6846.0,1351.0,10031.0,9379.0
2011,8770.0,11040.0,9885.0,622.0,23170.0,69543.0,3947.0,3400.0,12479.0,70472.0,3268.0,64787.0,5084.0,17210.0,4216.0,68325.0,9920.0,637.0,6561.0,584.0,13969.0,82832.0,12955.0,30694.0,6669.0,1273.0,10525.0,9920.0
2012,8805.0,11183.0,9493.0,678.0,22644.0,68533.0,3829.0,3286.0,12475.0,68597.0,3306.0,66572.0,4741.0,17179.0,4287.0,67102.0,9729.0,666.0,6117.0,585.0,13473.0,85459.0,13875.0,31817.0,6296.0,1377.0,10850.0,9729.0
2013,8862.0,11818.0,8834.0,553.0,16645.0,66221.0,4091.0,3023.0,12693.0,66765.0,3295.0,67075.0,4352.0,17841.0,4088.0,63848.0,9261.0,656.0,5136.0,615.0,12721.0,80165.0,14535.0,33434.0,5723.0,1360.0,9753.0,9261.0
2014,8692.0,,7870.0,532.0,18658.0,63228.0,3583.0,3034.0,11798.0,65017.0,3148.0,66270.0,3763.0,17890.0,3777.0,54745.0,8636.0,626.0,4745.0,581.0,11934.0,79345.0,14198.0,30156.0,5807.0,1522.0,10020.0,8664.0
2015,8665.0,10994.0,7408.0,547.0,20866.0,63020.0,3203.0,2823.0,9611.0,61614.0,3135.0,66678.0,3341.0,17449.0,3755.0,53410.0,7355.0,691.0,4409.0,569.0,10850.0,72695.0,14373.0,28334.0,5691.0,1399.0,9913.0,8665.0
2016,8619.0,,7345.0,586.0,22481.0,64291.0,3408.0,2864.0,9560.0,59589.0,3156.0,68432.0,3108.0,17658.0,3718.0,55978.0,6815.0,724.0,4243.0,553.0,10601.0,72209.0,13917.0,27455.0,5658.0,1308.0,9995.0,7982.0
2017,8852.0,10471.0,6988.0,592.0,22159.0,65841.0,3418.0,2723.0,10011.0,58812.0,3082.0,68974.0,3190.0,17343.0,3680.0,59038.0,6599.0,684.0,3765.0,591.0,10874.0,74480.0,13587.0,23450.0,5713.0,,10028.0,9431.5
2018,9163.0,10261.0,6651.0,619.0,21577.0,65762.0,3635.0,2584.0,10654.0,58883.0,2956.0,70059.0,3217.0,16303.0,3962.0,61131.0,6485.0,656.0,3522.0,635.0,11251.0,72818.0,13021.0,20792.0,6114.0,1346.0,10294.0,9163.0
2019,9072.0,10794.0,6448.0,759.0,21048.0,63146.0,3920.0,2487.0,10891.0,58517.0,2945.0,70739.0,3533.0,16334.0,4017.0,62232.0,6138.0,594.0,3414.0,754.0,11777.0,74612.0,12947.0,20578.0,6719.0,1396.0,10555.0,9072.0
2020,8488.0,10357.0,6251.0,601.0,19286.0,59585.0,4166.0,2348.0,11379.0,55180.0,2751.0,62543.0,3531.0,16752.0,3810.0,54605.0,5320.0,557.0,3104.0,864.0,11024.0,68354.0,11502.0,21753.0,7297.0,1449.0,10519.0,8488.0
2021,8436.0,10769.0,5873.0,795.0,18748.0,57525.0,4222.0,2189.0,11030.0,55097.0,2811.0,69448.0,3905.0,18623.0,3806.0,55349.0,5086.0,617.0,3183.0,614.0,11309.0,72269.0,11704.0,22989.0,7776.0,1136.0,10104.0,8436.0
2022,8993.0,11050.0,5577.0,958.0,19052.0,57465.0,4208.0,2073.0,10526.0,55751.0,2861.0,72173.0,4091.0,19347.0,4369.0,57455.0,4973.0,705.0,3229.0,559.0,11238.0,71723.0,12502.0,23082.0,8414.0,1380.0,9839.0,8993.0
2023,9089.0,11983.0,5526.0,959.0,19569.0,59165.0,4154.0,1841.0,10242.0,56698.0,2962.0,75913.0,4445.0,17939.0,4731.0,61568.0,4551.0,605.0,3271.0,672.0,11681.0,74505.0,12321.0,23650.0,9748.0,1438.0,9724.0,9724.0
