Country,Prison_Occupancy_Rate_2023
Γαλλία,122.9
Ιταλια,119.08
Βέλγιο,113.22
Σουηδία,112.59
Κροατία,109.7
Ρουμανία,109.56
Αυστρία,107.45
Σλοβενία,106.91
Ιρλανδία,104.81
Δανία,102.44
Ελλάδα,100.78
Φινλανδία,100.14
Ουγγαρία,99.18
Πορτογαλία,97.3
Τσεχία,96.39
Ολλανδία,93.97
Πολωνία,84.74
Σλοβακία,84.13
Γερμανία,81.83
Ισπανία,73.76
Μάλτα,70.59
Λετονία,67.83
Λιθουανία,67.81
Βουλγαρία,67.71
Λουξεμβούργο,60.8
Εσθονία,56.16
Κύπρος,
