Foreign_Prisoners_Percentage_2022,Country_Code,eu_countries_gr,Country_En
55.43,CY,Κύπρος,Cyprus
17.66,SE,Σουηδία,Sweden
47.23,MT,Μάλτα,Malta
2.55,PL,Πολωνία,Poland
30.06,ES,Ισπανία,Spain
16.11,FI,Φινλανδία,Finland
1.07,RO,Ρουμανία,Romania
14.9,IE,Ιρλανδία,Ireland
51.64,AT,Αυστρία,Austria
2.45,LV,Λετονία,Latvia
4.14,SK,Σλοβακία,Slovakia
10.34,HR,Κροατία,Croatia
7.66,CZ,Τσεχία,Czech Rep.
57.21,EL,Ελλάδα,Greece
2.4,BG,Βουλγαρία,Bulgaria
21.85,NL,Ολλανδία,Netherlands
31.57,IT,Ιταλια,Italy
29.28,SI,Σλοβενία,Slovenia
77.87,LU,Λουξεμβούργο,Luxembourg
25.03,FR,Γαλλία,France
33.09,EE,Εσθονία,Estonia
15.31,PT,Πορτογαλία,Portugal
14.95,HU,Ουγγαρία,Hungary
42.81,BE,Βέλγιο,Belgium
3.34,LT,Λιθουανία,Lithuania
27.21,DK,Δανία,Denmark
