Country,Pretrial_Prisoners_Percentage_2023
Αυστρία,20.6
Βέλγιο,25.8
Βουλγαρία,8.3
Κύπρος,
Τσεχία,8.0
Γερμανία,26.3
Δανία,29.2
Εσθονία,16.3
Ελλάδα,27.0
Ισπανία,18.9
Φινλανδία,26.3
Γαλλία,26.3
Κροατία,42.0
Ουγγαρία,22.0
Ιρλανδία,21.6
Ιταλια,16.8
Λιθουανία,11.8
Λουξεμβούργο,45.4
Λετονία,23.7
Μάλτα,40.9
Ολλανδία,26.6
Πολωνία,11.4
Πορτογαλία,21.8
Ρουμανία,8.7
Σουηδία,28.3
Σλοβενία,28.5
Σλοβακία,14.6
