Country,Total_Prisoners_Per_HundredThousand_Habitants_2024
Αυστρία,105.44
Βέλγιο,106.46
Βουλγαρία,84.4
Κύπρος,99.86
Τσεχία,178.25
Γερμανία,70.45
Δανία,69.9
Εσθονία,119.08
Ελλάδα,110.68
Ισπανία,121.81
Φινλανδία,56.87
Γαλλία,117.47
Κροατία,128.56
Ουγγαρία,192.64
Ιρλανδία,95.69
Ιταλια,107.72
Λιθουανία,155.24
Λουξεμβούργο,93.45
Λετονία,186.58
Μάλτα,123.7
Ολλανδία,66.59
Πολωνία,190.74
Πορτογαλία,117.55
Ρουμανία,129.05
Σουηδία,106.48
Σλοβενία,85.03
Σλοβακία,150.59
