Foreign_Prisoners_Percentage_2021,Country_Code,eu_countries_gr,Country_En
52.45,CY,Κύπρος,Cyprus
18.38,SE,Σουηδία,Sweden
50.65,MT,Μάλτα,Malta
2.41,PL,Πολωνία,Poland
29.53,ES,Ισπανία,Spain
14.98,FI,Φινλανδία,Finland
0.98,RO,Ρουμανία,Romania
15.11,IE,Ιρλανδία,Ireland
49.27,AT,Αυστρία,Austria
1.82,LV,Λετονία,Latvia
2.58,SK,Σλοβακία,Slovakia
11.96,HR,Κροατία,Croatia
7.45,CZ,Τσεχία,Czech Rep.
58.92,EL,Ελλάδα,Greece
2.71,BG,Βουλγαρία,Bulgaria
20.15,NL,Ολλανδία,Netherlands
31.49,IT,Ιταλια,Italy
31.6,SI,Σλοβενία,Slovenia
72.45,LU,Λουξεμβούργο,Luxembourg
25.12,FR,Γαλλία,France
33.12,EE,Εσθονία,Estonia
14.29,PT,Πορτογαλία,Portugal
10.09,HU,Ουγγαρία,Hungary
43.7,BE,Βέλγιο,Belgium
3.28,LT,Λιθουανία,Lithuania
25.44,DK,Δανία,Denmark
