date,Greece,EU_Median
2008,27.2,24.6
2009,31.2,20.9
2010,32.8,21.8
2011,34.1,20.7
2012,34.7,20.2
2013,22.5,20.4
2014,20.9,20.25
2015,26.3,20.1
2016,29.6,19.8
2017,32.7,21.1
2018,31.3,20.55
2019,26.6,21.5
2020,23.3,21.65
2021,23.8,22.1
2022,24.2,22.35
2023,27.0,22.85
