date,Γυναίκες,Άνδρες,Σύνολο
2008,774.0,11541.0,11736.0
2009,554.0,10300.0,11364.0
2010,577.0,11204.0,12349.0
2011,562.0,11330.0,12479.0
2012,557.0,11318.0,12475.0
2013,660.0,12033.0,12693.0
2014,572.0,11226.0,11798.0
2015,486.0,9125.0,9611.0
2016,515.0,9035.0,9560.0
2017,551.0,9460.0,10011.0
2018,553.0,10101.0,10654.0
2019,490.0,10401.0,10891.0
2020,527.0,10852.0,11379.0
2021,537.0,10493.0,11030.0
2022,533.0,9993.0,10526.0
2023,497.0,9745.0,10242.0
