Country,Pretrial_Prisoners_Percentage_2021
Αυστρία,19.1
Βέλγιο,27.1
Βουλγαρία,9.3
Κύπρος,
Τσεχία,7.4
Γερμανία,22.6
Δανία,29.4
Εσθονία,18.7
Ελλάδα,23.8
Ισπανία,17.5
Φινλανδία,21.2
Γαλλία,26.9
Κροατία,34.7
Ουγγαρία,21.9
Ιρλανδία,22.3
Ιταλια,17.0
Λιθουανία,11.3
Λουξεμβούργο,45.7
Λετονία,25.4
Μάλτα,31.6
Ολλανδία,25.0
Πολωνία,11.9
Πορτογαλία,18.5
Ρουμανία,8.0
Σουηδία,26.9
Σλοβενία,33.1
Σλοβακία,14.2
