Country,Prisoners_Per_Personnel_Ratio_2023
Αυστρία,2.03
Βέλγιο,
Βουλγαρία,2.09
Γαλλία,1.83
Γερμανία,
Δανία,1.51
Ελλάδα,2.24
Εσθονία,
Ιρλανδία,1.32
Ισπανία,1.9
Ιταλια,1.59
Κροατία,1.8
Κύπρος,
Λετονία,1.82
Λιθουανία,2.19
Λουξεμβούργο,0.7
Μάλτα,1.46
Ολλανδία,0.94
Ουγγαρία,1.94
Πολωνία,5.15
Πορτογαλία,2.43
Ρουμανία,2.03
Σλοβακία,1.86
Σλοβενία,1.6
Σουηδία,1.1
Τσεχία,1.8
Φινλανδία,1.39
