Country,Total_Prisoners_Per_HundredThousand_Habitants_2021
Αυστρία,94.44
Βέλγιο,93.2
Βουλγαρία,89.91
Κύπρος,86.94
Τσεχία,178.64
Γερμανία,69.18
Δανία,72.29
Εσθονία,164.58
Ελλάδα,103.29
Ισπανία,116.24
Φινλανδία,50.8
Γαλλία,102.54
Κροατία,100.31
Ουγγαρία,192.96
Ιρλανδία,75.12
Ιταλια,93.44
Λιθουανία,180.95
Λουξεμβούργο,97.21
Λετονία,168.13
Μάλτα,118.96
Ολλανδία,64.71
Πολωνία,194.94
Πορτογαλία,112.6
Ρουμανία,119.72
Σουηδία,74.92
Σλοβενία,53.86
Σλοβακία,185.06
