Country,Prison_Occupancy_Rate_2022
Κύπρος,225.94
Σουηδία,105.65
Μάλτα,58.72
Πολωνία,81.96
Ισπανία,74.97
Φινλανδία,95.65
Ρουμανία,112.21
Ιρλανδία,99.05
Αυστρία,106.14
Λετονία,66.96
Σλοβακία,84.43
Κροατία,104.18
Τσεχία,93.52
Ελλάδα,103.45
Βουλγαρία,68.34
Ολλανδία,90.13
Ιταλια,110.99
Σλοβενία,101.92
Λουξεμβούργο,77.47
Γαλλία,118.96
Εσθονία,62.18
Πορτογαλία,98.65
Ουγγαρία,103.51
Γερμανία,79.12
Βέλγιο,113.88
Λιθουανία,69.07
Δανία,99.29
