date,Greece,EU_Median
1995,,0.1
1996,,0.2
1997,,0.2
1998,,0.2
1999,,0.1
2000,,0.2
2001,0.0,0.2
2002,0.0,0.2
2003,0.1,0.2
2004,0.1,0.2
2005,0.1,0.2
2006,0.1,0.2
2007,0.1,0.2
2008,0.1,0.2
2009,0.1,0.2
2010,0.1,0.2
2011,0.1,0.2
2012,0.1,0.2
2013,0.1,0.2
2014,0.1,0.2
2015,0.1,0.2
2016,0.1,0.15000000000000002
2017,0.1,0.15000000000000002
2018,0.1,0.1
2019,0.1,0.1
2020,0.1,0.2
2021,0.1,0.2
2022,0.1,0.15000000000000002
2023,0.1,0.2
2024,0.1,0.2
