precinct,NUTS_3_Code
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,EL631
ΑΡΓΟΛΙΔΟΣ,EL651
ΑΡΚΑΔΙΑΣ,EL651
ΑΡΤΗΣ,EL541
Α’ ΑΘΗΝΩΝ,EL303
Β1′ ΒΟΡΕΙΟΥ ΤΟΜ. ΑΘΗΝΩΝ,EL301
Β2′ ΔΥΤΙΚΟΥ ΤΟΜ. ΑΘΗΝΩΝ,EL302
Β3′ ΝΟΤΙΟΥ ΤΟΜ. ΑΘΗΝΩΝ,EL304
Α’ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,EL305
Β’ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,EL306
Α’ ΠΕΙΡΑΙΩΣ,EL307
Β’ ΠΕΙΡΑΙΩΣ,EL307
ΑΧΑΪΑΣ,EL632
ΒΟΙΩΤΙΑΣ,EL641
ΓΡΕΒΕΝΩΝ,EL531
ΔΡΑΜΑΣ,EL514
ΔΩΔΕΚΑΝΗΣΟΥ,EL421
ΕΒΡΟΥ,EL511
ΕΥΒΟΙΑΣ,EL642
ΕΥΡΥΤΑΝΙΑΣ,EL643
ΖΑΚΥΝΘΟΥ,EL621
ΗΛΕΙΑΣ,EL633
ΗΜΑΘΙΑΣ,EL521
ΗΡΑΚΛΕΙΟΥ,EL431
ΘΕΣΠΡΩΤΙΑΣ,EL542
Α’ ΘΕΣΣΑΛΟΝΙΚΗΣ,EL522
Β’ ΘΕΣΣΑΛΟΝΙΚΗΣ,EL522
ΙΩΑΝΝΙΝΩΝ,EL543
ΚΑΒΑΛΑΣ,EL515
ΚΑΡΔΙΤΣΗΣ,EL611
ΚΑΣΤΟΡΙΑΣ,EL532
ΚΕΡΚΥΡΑΣ,EL622
ΚΕΦΑΛΛΗΝΙΑΣ,EL623
ΚΙΛΚΙΣ,EL523
ΚΟΖΑΝΗΣ,EL531
ΚΟΡΙΝΘΙΑΣ,EL652
ΚΥΚΛΑΔΩΝ,EL422
ΛΑΚΩΝΙΑΣ,EL653
ΛΑΡΙΣΗΣ,EL612
ΛΑΣΙΘΙΟΥ,EL432
ΛΕΣΒΟΥ,EL411
ΛΕΥΚΑΔΟΣ,EL624
ΜΑΓΝΗΣΙΑΣ,EL613
ΜΕΣΣΗΝΙΑΣ,EL653
ΞΑΝΘΗΣ,EL512
ΠΕΛΛΗΣ,EL524
ΠΙΕΡΙΑΣ,EL525
ΠΡΕΒΕΖΗΣ,EL541
ΡΕΘΥΜΝΗΣ,EL433
ΡΟΔΟΠΗΣ,EL513
ΣΑΜΟΥ,EL412
ΣΕΡΡΩΝ,EL526
ΤΡΙΚΑΛΩΝ,EL611
ΦΘΙΩΤΙΔΟΣ,EL644
ΦΛΩΡΙΝΗΣ,EL533
ΦΩΚΙΔΟΣ,EL645
ΧΑΛΚΙΔΙΚΗΣ,EL527
ΧΑΝΙΩΝ,EL434
ΧΙΟΥ,EL413
