Code,NUTS_level,NUTS_1
EL3,1,Αττική 
EL4,1,"Νησιά Αιγαίου, Κρήτη"
EL5,1,Βόρεια Ελλάδα
EL6,1,Κεντρική Ελλάδα
ELZ,1,Extra-Regio NUTS 1
