Code,NUTS_level,NUTS_2
EL30,2,Aττική
EL41,2,Βόρειο Αιγαίο
EL42,2,Νότιο Αιγαίο
EL43,2,Κρήτη
EL51,2,"Aνατολική Μακεδονία, Θράκη"
EL52,2,Κεντρική Μακεδονία
EL53,2,Δυτική Μακεδονία
EL54,2,Ήπειρος
EL61,2,Θεσσαλία
EL62,2,Ιόνια Νησιά
EL63,2,Δυτική Ελλάδα
EL64,2,Στερεά Ελλάδα
EL65,2,Πελοπόννησος
ELZZ,2,Extra-Regio NUTS 2
