country,military_expenditure_pct_gdp
E.E.,1.90094888106335
Αλβανία,
Αυστρία,
Βέλγιο,1.2770531266155
Βουλγαρία,2.14947328244853
Βόρεια Μακεδονία,
Γαλλία,2.05257687860637
Γερμανία,1.89190377205494
Δανία,2.41617454160591
Ελλάδα,3.12797536550149
Εσθονία,3.37400221824601
Ιρλανδία,0.239096332495524
Ισπανία,1.43210737406914
Ιταλια,1.60924561245844
Κροατία,1.79323424509814
Κύπρος,1.64735214954921
Λετονία,3.25799154535171
Λιθουανία,3.11817486440289
Λουξεμβούργο,0.962679157025622
Μάλτα,0.451123319487248
Ολλανδία,
Ουγγαρία,2.15630980446665
Πολωνία,4.15439387975356
Πορτογαλία,1.53226822745255
Σλοβακία,2.01078152849676
Σλοβενία,1.31001116486788
Σουηδία,1.99771738810168
Τουρκία,1.92255231276371
Τσεχία,1.91680849222604
Φινλανδία,2.29979173712597
