date,million_AT,million_BE,million_BG,million_CY,million_CZ,million_DE,million_DK,million_EE,million_EL,million_ES,million_EU27_2020,million_FI,million_FR,million_HR,million_HU,million_IE,million_IT,million_LT,million_LU,million_LV,million_MT,million_NL,million_PL,million_PT,million_RO,million_SE,million_SI,million_SK,pct_gdp_AT,pct_gdp_BE,pct_gdp_BG,pct_gdp_CY,pct_gdp_CZ,pct_gdp_DE,pct_gdp_DK,pct_gdp_EE,pct_gdp_EL,pct_gdp_ES,pct_gdp_EU27_2020,pct_gdp_FI,pct_gdp_FR,pct_gdp_HR,pct_gdp_HU,pct_gdp_IE,pct_gdp_IT,pct_gdp_LT,pct_gdp_LU,pct_gdp_LV,pct_gdp_MT,pct_gdp_NL,pct_gdp_PL,pct_gdp_PT,pct_gdp_RO,pct_gdp_SE,pct_gdp_SI,pct_gdp_SK,pct_total_exp_AT,pct_total_exp_BE,pct_total_exp_BG,pct_total_exp_CY,pct_total_exp_CZ,pct_total_exp_DE,pct_total_exp_DK,pct_total_exp_EE,pct_total_exp_EL,pct_total_exp_ES,pct_total_exp_EU27_2020,pct_total_exp_FI,pct_total_exp_FR,pct_total_exp_HR,pct_total_exp_HU,pct_total_exp_IE,pct_total_exp_IT,pct_total_exp_LT,pct_total_exp_LU,pct_total_exp_LV,pct_total_exp_MT,pct_total_exp_NL,pct_total_exp_PL,pct_total_exp_PT,pct_total_exp_RO,pct_total_exp_SE,pct_total_exp_SI,pct_total_exp_SK
2000,1862.5,3113.6,459.5,186.4,1144.6,23502.0,2557.3,74.1,3423.4,7141.0,108491.1,1896.0,28713.0,395.1,620.2,557.8,13838.0,151.8,54.5,72.6,30.5,6601.0,2577.7,1978.8,878.0,6110.8,245.4,305.3,0.9,1.2,3.2,1.7,1.7,1.1,1.4,1.2,2.5,1.1,1.4,1.4,1.9,1.7,1.2,0.5,1.1,1.2,0.2,0.9,0.7,1.5,1.4,1.5,2.2,2.1,1.1,1.4,1.7,2.5,7.4,4.7,4.2,2.3,2.7,3.3,5.2,2.8,2.9,2.9,3.8,3.1,2.6,1.7,2.4,3.1,0.6,2.3,1.7,3.4,3.2,3.6,5.6,4.0,2.4,2.6
2001,1831.9,3198.3,416.8,221.2,1291.1,23084.0,2725.2,90.4,3931.0,7459.0,113979.9,1868.0,30937.0,423.3,714.7,635.1,15306.0,168.9,67.9,87.5,33.0,7151.0,3493.4,1887.5,858.7,5491.8,289.9,317.3,0.8,1.2,2.6,1.9,1.7,1.1,1.5,1.3,2.7,1.1,1.4,1.3,2.0,1.6,1.2,0.5,1.2,1.2,0.3,1.0,0.7,1.5,1.6,1.4,1.9,2.0,1.3,1.3,1.6,2.5,6.4,5.1,3.9,2.2,2.8,3.7,5.6,2.8,2.9,2.7,3.9,3.2,2.5,1.6,2.5,3.3,0.7,2.7,1.7,3.4,3.7,3.2,5.2,3.9,2.6,2.9
2002,1787.9,3248.9,456.0,246.8,1541.2,23336.0,2791.1,105.9,4722.0,8139.0,118453.4,1930.0,32347.0,421.5,1009.8,607.4,15506.0,215.1,64.4,110.9,33.2,7151.0,3459.3,1913.5,1080.7,5552.1,295.1,381.7,0.8,1.2,2.6,2.0,1.8,1.0,1.5,1.4,3.0,1.1,1.4,1.3,2.0,1.5,1.4,0.4,1.1,1.4,0.3,1.1,0.7,1.4,1.6,1.3,2.2,2.0,1.2,1.5,1.5,2.4,6.7,5.2,4.0,2.2,2.8,3.8,6.3,2.8,2.9,2.7,3.9,3.0,2.8,1.4,2.5,4.0,0.6,3.1,1.7,3.2,3.6,3.1,6.4,3.6,2.5,3.2
2003,1921.8,3213.8,468.3,268.4,1712.4,23797.0,2819.1,116.1,6522.0,8335.0,121352.1,2122.0,30255.0,432.5,973.3,609.9,17466.0,221.4,69.4,113.2,38.6,7255.0,3161.2,1879.5,1331.7,5645.4,334.3,269.8,0.8,1.1,2.5,2.1,1.9,1.1,1.5,1.3,3.7,1.0,1.4,1.4,1.9,1.4,1.3,0.4,1.2,1.3,0.3,1.1,0.8,1.4,1.6,1.3,2.6,1.9,1.3,0.9,1.6,2.2,6.5,4.9,3.9,2.2,2.7,3.8,7.8,2.7,2.9,2.8,3.5,2.8,2.6,1.3,2.7,4.0,0.6,3.2,1.8,3.1,3.6,2.8,7.6,3.5,2.7,2.2
2004,2029.6,3253.2,359.3,248.3,1215.6,23064.0,2899.2,132.7,5705.0,9230.0,123446.9,2350.0,31483.0,543.0,1098.5,687.6,18544.0,243.9,73.1,144.2,44.3,7271.0,3280.2,2040.6,1341.6,5481.5,391.1,292.2,0.8,1.1,1.7,1.8,1.3,1.0,1.4,1.4,3.0,1.1,1.3,1.5,1.9,1.6,1.3,0.4,1.3,1.3,0.3,1.3,0.9,1.4,1.6,1.3,2.2,1.8,1.4,0.8,1.6,2.2,4.5,4.4,3.0,2.1,2.7,4.0,6.2,2.8,2.8,3.0,3.5,3.3,2.7,1.3,2.7,3.9,0.6,3.5,2.2,3.1,3.7,2.9,6.6,3.4,3.0,2.2
2005,2021.2,3314.5,484.5,272.2,1650.3,24163.0,2989.5,156.3,5348.0,9975.0,126216.2,2509.0,31834.0,483.3,1171.5,648.2,18913.0,287.1,74.3,159.7,43.6,6719.0,3807.9,2125.1,2195.0,4183.8,376.6,310.8,0.8,1.1,2.0,1.8,1.5,1.0,1.4,1.4,2.7,1.1,1.3,1.5,1.8,1.3,1.3,0.4,1.3,1.4,0.2,1.2,0.9,1.2,1.5,1.3,2.8,1.3,1.3,0.8,1.5,2.1,5.5,4.4,3.5,2.2,2.7,4.1,5.9,2.8,2.8,3.1,3.4,2.8,2.6,1.2,2.7,4.0,0.6,3.3,2.0,2.8,3.5,2.9,8.3,2.5,2.8,2.0
2006,1932.9,3267.9,439.2,301.2,1420.4,25556.0,3507.0,175.8,5617.0,10255.0,132148.9,2458.0,33121.0,515.9,1243.7,685.5,18816.0,370.9,77.3,248.6,37.1,7439.0,4455.2,2134.1,2250.5,4978.3,448.5,396.8,0.7,1.0,1.6,1.9,1.1,1.1,1.6,1.3,2.6,1.0,1.3,1.4,1.8,1.3,1.4,0.4,1.2,1.5,0.2,1.5,0.7,1.3,1.6,1.3,2.3,1.5,1.4,0.9,1.4,2.1,4.8,4.5,2.7,2.3,3.1,3.9,5.7,2.7,2.8,3.0,3.4,2.8,2.6,1.1,2.5,4.5,0.6,3.9,1.6,2.9,3.7,2.8,6.5,2.9,3.1,2.2
2007,2185.6,3485.4,450.7,293.3,1521.8,22813.0,3315.6,205.9,6436.0,10817.0,134814.2,2528.0,33654.0,571.1,1292.2,745.1,19329.0,514.4,89.1,319.3,35.6,7884.0,6043.3,2052.1,2232.9,5060.6,476.6,462.6,0.8,1.0,1.4,1.7,1.1,0.9,1.4,1.3,2.8,1.0,1.2,1.4,1.7,1.3,1.3,0.4,1.2,1.8,0.2,1.5,0.6,1.3,1.9,1.2,1.7,1.4,1.4,0.8,1.6,2.1,3.7,4.2,2.7,2.1,2.9,3.7,5.9,2.6,2.7,2.9,3.3,2.8,2.5,1.1,2.6,5.0,0.6,4.1,1.5,2.9,4.5,2.6,4.7,2.9,3.1,2.3
2008,2660.1,3730.3,456.6,313.0,1658.1,23973.0,3425.1,281.8,7241.0,11243.0,142573.9,2790.0,34324.0,734.0,1103.8,831.4,21447.0,429.8,101.3,357.5,38.1,8080.0,7020.9,2111.8,2070.6,5107.2,529.1,515.5,0.9,1.1,1.2,1.6,1.0,0.9,1.4,1.7,3.0,1.0,1.3,1.4,1.7,1.5,1.0,0.4,1.3,1.3,0.3,1.5,0.6,1.2,1.9,1.2,1.4,1.4,1.4,0.8,1.8,2.1,3.3,4.0,2.5,2.1,2.8,4.3,5.9,2.4,2.7,3.0,3.2,3.3,2.1,1.1,2.7,3.5,0.7,3.8,1.5,2.8,4.3,2.6,3.7,2.9,3.1,2.1
2009,2058.2,3484.0,450.7,330.0,1508.3,25829.0,3215.0,315.2,7883.0,10946.0,145346.5,2883.0,36546.0,675.5,865.2,707.0,23635.0,341.0,116.5,222.7,53.9,8536.0,4814.1,2512.6,1768.3,4504.9,554.1,591.2,0.7,1.0,1.2,1.8,1.0,1.0,1.4,2.2,3.4,1.0,1.4,1.6,1.9,1.5,0.9,0.4,1.5,1.3,0.3,1.2,0.9,1.4,1.5,1.4,1.4,1.4,1.5,0.9,1.3,1.8,3.1,3.9,2.3,2.1,2.5,4.8,6.1,2.2,2.7,2.9,3.3,3.0,1.8,0.9,2.9,2.8,0.7,2.6,2.1,2.8,3.4,2.8,3.6,2.7,3.1,2.1
