date, E.E.,Αυστρία,Βέλγιο,Βουλγαρία,Γαλλία,Γερμανία,Δανία,Ελλάδα,Εσθονία,Ιρλανδία,Ισπανία,Ιταλια,Κροατία,Κύπρος,Λετονία,Λιθουανία,Λουξεμβούργο,Μάλτα,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Ρουμανία,Σλοβακία,Σλοβενία,Σουηδία,Τσεχία,Φινλανδία
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.7
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863.8
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.3
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722.0
1995,102563.3,1719.2,3248.2,191.9,30602.0,24676.6,2411.1,1435.0,36.9,444.4,6401.3,11251.4,463.0,164.4,41.4,61.4,96.8,25.6,6394.1,351.3,2584.5,1513.5,686.7,238.4,181.1,4676.1,772.5,1894.6
1996,107166.5,1687.3,3052.5,112.3,32465.5,23893.5,2414.0,2317.4,41.8,467.7,6476.5,12481.8,448.9,253.6,44.6,80.1,98.5,27.8,6368.9,389.7,2984.8,1648.1,686.6,275.7,184.9,5407.9,880.8,1975.1
1997,105624.0,1679.7,3036.1,193.4,31132.3,22757.6,2482.3,2386.9,54.7,491.3,6488.5,12917.5,479.9,251.0,44.7,129.7,102.1,29.9,6080.4,587.3,3193.4,1584.3,792.8,289.5,189.8,5271.3,956.4,2021.1
1998,103463.5,1728.1,3017.8,391.0,28923.5,22466.3,2552.0,3411.3,62.1,496.6,6550.6,12264.3,509.9,168.2,47.6,152.9,102.4,28.4,6157.4,511.0,3417.1,1591.9,294.9,297.2,194.5,5249.5,905.2,1971.8
1999,106307.3,1742.1,3096.7,376.8,28822.0,22902.0,2631.7,4686.1,61.4,513.9,6635.0,12623.0,508.3,193.1,63.8,116.8,51.2,28.7,6809.0,589.7,2243.9,1735.8,622.5,260.8,230.9,5780.9,1063.3,1918.0
2000,108491.1,1862.5,3113.6,459.5,28713.0,23502.0,2557.3,3423.4,74.1,557.8,7141.0,13838.0,395.1,186.4,72.6,151.8,54.5,30.5,6601.0,620.2,2577.7,1978.8,878.0,305.3,245.4,6110.8,1144.6,1896.0
2001,113979.9,1831.9,3198.3,416.8,30937.0,23084.0,2725.2,3931.0,90.4,635.1,7459.0,15306.0,423.3,221.2,87.5,168.9,67.9,33.0,7151.0,714.7,3493.4,1887.5,858.7,317.3,289.9,5491.8,1291.1,1868.0
2002,118453.4,1787.9,3248.9,456.0,32347.0,23336.0,2791.1,4722.0,105.9,607.4,8139.0,15506.0,421.5,246.8,110.9,215.1,64.4,33.2,7151.0,1009.8,3459.3,1913.5,1080.7,381.7,295.1,5552.1,1541.2,1930.0
2003,121352.1,1921.8,3213.8,468.3,30255.0,23797.0,2819.1,6522.0,116.1,609.9,8335.0,17466.0,432.5,268.4,113.2,221.4,69.4,38.6,7255.0,973.3,3161.2,1879.5,1331.7,269.8,334.3,5645.4,1712.4,2122.0
2004,123446.9,2029.6,3253.2,359.3,31483.0,23064.0,2899.2,5705.0,132.7,687.6,9230.0,18544.0,543.0,248.3,144.2,243.9,73.1,44.3,7271.0,1098.5,3280.2,2040.6,1341.6,292.2,391.1,5481.5,1215.6,2350.0
2005,126216.2,2021.2,3314.5,484.5,31834.0,24163.0,2989.5,5348.0,156.3,648.2,9975.0,18913.0,483.3,272.2,159.7,287.1,74.3,43.6,6719.0,1171.5,3807.9,2125.1,2195.0,310.8,376.6,4183.8,1650.3,2509.0
2006,132148.9,1932.9,3267.9,439.2,33121.0,25556.0,3507.0,5617.0,175.8,685.5,10255.0,18816.0,515.9,301.2,248.6,370.9,77.3,37.1,7439.0,1243.7,4455.2,2134.1,2250.5,396.8,448.5,4978.3,1420.4,2458.0
2007,134814.2,2185.6,3485.4,450.7,33654.0,22813.0,3315.6,6436.0,205.9,745.1,10817.0,19329.0,571.1,293.3,319.3,514.4,89.1,35.6,7884.0,1292.2,6043.3,2052.1,2232.9,462.6,476.6,5060.6,1521.8,2528.0
2008,142573.9,2660.1,3730.3,456.6,34324.0,23973.0,3425.1,7241.0,281.8,831.4,11243.0,21447.0,734.0,313.0,357.5,429.8,101.3,38.1,8080.0,1103.8,7020.9,2111.8,2070.6,515.5,529.1,5107.2,1658.1,2790.0
2009,145346.5,2058.2,3484.0,450.7,36546.0,25829.0,3215.0,7883.0,315.2,707.0,10946.0,23635.0,675.5,330.0,222.7,341.0,116.5,53.9,8536.0,865.2,4814.1,2512.6,1768.3,591.2,554.1,4504.9,1508.3,2883.0
2010,147475.3,1936.4,3529.1,641.1,37226.0,26771.0,3326.1,6069.0,256.5,595.8,11283.0,22191.0,620.4,423.6,188.0,305.6,212.1,50.4,8133.0,1170.6,5925.9,3420.4,1827.3,869.3,542.7,5518.0,1538.2,2905.0
2011,144881.5,1977.5,3561.0,475.2,36727.0,27696.0,3353.7,4955.0,252.3,743.2,11155.0,22560.0,645.2,376.7,199.7,300.9,179.4,56.0,8102.0,1073.1,6005.9,2181.4,1111.0,813.8,425.5,5783.4,1456.6,2715.0
2012,142552.0,1914.0,3574.6,438.1,37525.0,29380.0,3567.2,4610.0,327.3,706.4,9698.0,20861.0,639.7,358.3,198.2,312.3,165.7,50.6,7515.0,726.0,5722.8,1873.3,957.1,824.9,384.2,5928.0,1302.3,2992.0
2013,141198.1,2062.8,3630.9,505.3,37523.0,28587.0,3364.7,3879.0,346.8,687.1,9878.0,19783.0,592.2,301.7,206.6,320.1,161.5,49.1,7513.0,686.8,6541.8,1898.4,1002.8,811.1,346.1,6323.1,1208.4,2988.0
2014,136095.6,1959.0,3530.0,560.4,36191.0,27009.0,3010.5,4757.0,358.4,760.5,8950.0,19320.0,547.3,278.2,211.5,348.5,151.0,62.9,7320.0,621.7,6047.6,1819.3,1106.0,1290.4,322.3,5606.4,1093.8,2863.0
2015,142520.6,1942.1,3449.5,597.4,38499.0,28297.0,3018.8,4443.0,389.0,786.8,10416.0,19722.0,531.4,264.3,249.5,469.5,141.0,77.9,7697.0,756.0,6675.9,1820.5,1389.1,809.5,332.2,5438.1,1548.1,2760.0
2016,152554.8,2168.3,3457.5,541.7,42727.0,29679.0,3129.4,3706.0,514.4,822.4,10889.0,22051.0,526.5,292.3,410.7,574.9,175.6,60.8,7839.0,904.7,6734.3,1592.7,2848.6,828.4,378.0,5538.9,1276.8,2887.0
2017,157908.5,2234.1,3520.5,564.1,40765.0,32369.0,3420.5,4486.0,485.6,803.6,10373.0,22314.0,527.2,416.0,446.1,686.7,195.7,70.9,8242.0,1365.6,7920.1,1700.6,3347.2,1308.6,383.7,5594.0,1554.9,2814.0
2018,162695.9,2277.8,3481.2,649.9,41573.0,35604.0,3546.7,4070.0,529.8,935.3,10287.0,21995.0,581.5,409.4,614.4,782.4,248.4,84.0,8664.0,1260.9,8152.8,1771.3,3414.9,1088.2,443.5,5626.1,1822.2,2782.0
2019,168176.0,2429.3,3769.5,729.9,42059.0,36488.0,3492.1,3630.0,587.7,842.6,10537.0,23060.0,586.3,397.1,580.8,802.7,237.2,93.3,10151.0,1497.3,8677.9,1753.0,3722.8,1069.0,471.4,5734.8,1977.3,2799.0
2020,176575.5,2379.6,4138.8,914.7,43392.0,37793.0,3608.8,4244.0,658.6,912.1,10549.0,22726.0,555.9,405.9,743.8,1132.6,466.4,68.7,10821.0,1504.1,9138.1,1661.3,5168.9,1105.3,495.2,6472.2,2198.4,3321.0
