country,military_expenditure_pct_of_expenditure
E.E.,3.46641793331623
Αλβανία,5.61952875583332
Αυστρία,1.63257715135905
Βέλγιο,2.2165166871208
Βουλγαρία,5.01929385920541
Βόρεια Μακεδονία,4.70067231984364
Γαλλία,3.56687138932718
Γερμανία,3.0810880816111
Δανία,4.1000167886888
Ελλάδα,6.56533029905393
Εσθονία,6.77038494650104
Ιρλανδία,1.01636011281643
Ισπανία,3.20646584361177
Ιταλια,3.04345179262221
Κροατία,3.89884088514225
Κύπρος,4.61639978884392
Λετονία,5.63165890570431
Λιθουανία,6.92856647959537
Λουξεμβούργο,1.62266737232072
Μάλτα,1.37723910171731
Ολλανδία,3.38840482057177
Ουγγαρία,4.41188545269396
Πολωνία,8.11915596843084
Πορτογαλία,3.44220286894268
Σλοβακία,4.18833044482958
Σλοβενία,2.82990263787353
Σουηδία,3.06127811645995
Τσεχία,3.30061492359817
Φινλανδία,4.44072369237198
