country,military_expenditure_local_currency
Αλβανία,49842000000.0
Αυστρία,4861000000.0
Βέλγιο,7914800000.0
Βουλγαρία,4217000000.0
Βόρεια Μακεδονία,20128000000.0
Γαλλία,59789594000.0
Γερμανία,81776500000.0
Δανία,68670000000.0
Ελλάδα,7416000000.0
Εσθονία,1333000000.0
Ιρλανδία,1230000000.0
Ισπανία,22756000000.0
Ιταλια,35096810000.0
Κροατία,1506000000.0
Κύπρος,553000000.0
Λετονία,1318000000.0
Λιθουανία,2429000000.0
Λουξεμβούργο,805800961.596727
Μάλτα,101002000.0
Ολλανδία,21428300000.0
Ουγγαρία,1730698000000.0
Πολωνία,151241000000.0
Πορτογαλία,4291000000.0
Σλοβακία,2634000000.0
Σλοβενία,880000000.0
Σουηδία,127308000000.0
Τουρκία,821245871159.598
Τσεχία,151506000000.0
Φινλανδία,6460000000.0
