country,military_expenditure_dollars
Αλβανία,397617613.069546
Αυστρία,4409985263.67648
Βέλγιο,7629396588.60593
Βουλγαρία,1918445357.72681
Βόρεια Μακεδονία,266629712.724026
Γαλλία,61301290832.7967
Γερμανία,66826634284.2079
Δανία,8144932201.69398
Ελλάδα,7729763484.16818
Εσθονία,1189493563.12203
Ιρλανδία,1269192872.97808
Ισπανία,23699130513.697
Ιταλια,35528923816.2324
Κροατία,1439060332.4964
Κύπρος,566873090.436083
Λετονία,1045283944.32176
Λιθουανία,2160751249.9946
Λουξεμβούργο,662492815.502094
Μάλτα,112636721.535343
Ολλανδία,16624820117.4584
Ουγγαρία,4355478069.88993
Πολωνία,31649874711.6473
Πορτογαλία,4223188318.11444
Σλοβακία,2663125915.61834
Σλοβενία,907515524.997731
Σουηδία,8754872951.01216
Τουρκία,15827853255.0459
Τσεχία,5056277310.0528
Φινλανδία,7348032203.83663
