country,military_expenditure_pct_gdp
E.E.,1.71633821201191
Αλβανία,1.74399167669186
Αυστρία,0.844274840737983
Βέλγιο,1.21461599569106
Βουλγαρία,1.84737280288254
Βόρεια Μακεδονία,1.69895545621264
Γαλλία,2.05638673841337
Γερμανία,1.51965192096975
Δανία,1.95319596405831
Ελλάδα,3.23440755796675
Εσθονία,2.86665387374435
Ιρλανδία,0.216857882649718
Ισπανία,1.50901228462186
Ιταλια,1.60578289334057
Κροατία,1.77989219884811
Κύπρος,1.82460300554278
Λετονία,2.26754267524368
Λιθουανία,2.71567834515769
Λουξεμβούργο,0.7490545294635
Μάλτα,0.558644018130875
Ολλανδία,1.53256247074407
Ουγγαρία,2.12784318809435
Πολωνία,3.83272853898223
Πορτογαλία,1.51929712406409
Σλοβακία,2.01653474902229
Σλοβενία,1.33665006488574
Σουηδία,1.47341062942458
Τουρκία,1.5026648858863
Τσεχία,1.52418962408317
Φινλανδία,2.42148617618712
