country_of_birth,country_gr,people_ED0-2,people_ED3_4,people_ED5-8,people_NRP,people_TOTAL,people_ED0-2_per_1000,people_ED3_4_per_1000,people_ED5-8_per_1000,people_NRP_per_1000,people_TOTAL_per_1000
AT,Αυστρία,13.4,70.3,85.0,,168.9,1.4569631039315933,7.643619866148582,9.241930136879509,,18.364258824928815
BE,Βέλγιο,40.5,82.2,152.1,,276.9,3.4080882770599055,6.917156947514178,12.799264862736088,,23.301225775750318
BG,Βουλγαρία,231.9,195.2,157.8,,586.4,36.02408440727255,30.32298954851057,24.513154460834876,,91.09324319286168
CZ,Τσεχία,20.7,73.9,57.1,,152.3,1.8974288464182594,6.773912644942481,5.233970392776937,,13.96030982171502
DE,Γερμανία,142.8,456.4,633.8,,1239.8,1.7086011797005736,5.460823378258696,7.583413359203246,,14.83419987810064
DK,Δανία,,21.8,39.0,,69.0,,3.6377386348201,6.5078810439442165,,11.513943385439767
EE,Εσθονία,13.7,36.2,25.8,,76.5,10.000036496483565,26.423454100197446,18.83218551892525,,55.839619852627195
EL,Ελλάδα,87.3,90.3,130.6,,309.1,8.416619787154966,8.705850707675754,12.591186073338356,,29.800425844325314
ES,Ισπανία,55.9,102.5,216.4,,378.5,1.1378371206313136,2.0863739689572385,4.404793432998503,,7.704317534149412
FI,Φινλανδία,,25.9,46.8,,76.1,,4.595481417487776,8.303804260170963,,13.50255350852586
FR,Γαλλία,126.0,225.9,463.8,,819.4,1.829199246253771,3.279492934354975,6.733195320734119,,11.89560208238365
HR,Κροατία,58.1,150.5,85.0,,295.7,14.996063855872597,38.84522565075432,21.93916398879812,,76.32247989985417
HU,Ουγγαρία,46.7,141.0,128.8,,318.5,4.895433744864249,14.780645782138313,13.501753026520673,,33.38748710362449
IE,Ιρλανδία,,,36.5,,51.2,,,6.709215962860722,,9.411283761601888
IT,Ιταλια,201.9,244.3,427.8,,881.2,3.425316163977061,4.144649523821674,7.257802154281262,,14.94991878997814
LT,Λιθουανία,25.1,65.7,76.6,,171.5,8.683126091444732,22.7283420003155,26.4991019364409,,59.32892927022995
LU,Λουξεμβούργο,,18.6,18.8,,46.2,,27.273807027550944,27.567073769782677,,67.74461745552976
LV,Λετονία,23.3,50.2,47.0,,122.4,12.523077667267739,26.98105145480002,25.26114379234265,,65.78646808899447
NL,Ολλανδία,27.5,86.2,146.2,,260.8,1.524050036059024,4.777204113028649,8.102404191702883,,14.45353634197067
PL,Πολωνία,334.8,898.5,607.8,14.3,1855.4,9.173232299915377,24.61812790165462,16.653197705760356,0.3918077117347369,50.83636561906509
PT,Πορτογαλία,401.3,243.4,151.6,,801.1,37.331500092793846,22.642629261365617,14.102804420801263,,74.52346056400985
RO,Ρουμανία,922.2,1341.4,552.5,,2822.0,48.426859609525756,70.44002329236375,29.01305566499998,,148.18976124276912
SE,Σουηδία,13.5,58.9,74.0,,146.7,1.2750632573049319,5.563053767056332,6.989235632634442,,13.855687396046926
SI,Σλοβενία,,31.0,23.7,,61.1,,14.548184996597602,11.122322078043974,,28.67400333200366
SK,Σλοβακία,31.1,139.1,125.1,,295.6,5.738588650400198,25.666806471725643,23.08351897636864,,54.544270259109275
