country_of_birth,country_gr,people_ED0-2,people_ED3_4,people_ED5-8,people_NRP,people_TOTAL,people_ED0-2_per_1000,people_ED3_4_per_1000,people_ED5-8_per_1000,people_NRP_per_1000,people_TOTAL_per_1000
AT,Αυστρία,15.6,74.7,86.5,,177.0,1.7032892043128156,8.156134843728674,9.444520267503753,,19.325781356626177
BE,Βέλγιο,41.3,84.1,141.3,,269.1,3.494936488626309,7.116807716548973,11.957252441716646,,22.772092229766095
BG,Βουλγαρία,228.7,182.9,151.4,,564.5,35.48222390229682,28.376470274289847,23.48932531179597,,87.58074067707282
CY,Κύπρος,,,,,13.6,,,,,14.07335737531885
CZ,Τσεχία,22.1,75.4,60.1,,158.1,2.0274197047765,6.917078992766882,5.51348073561392,,14.503848657247268
DE,Γερμανία,135.5,463.8,626.0,,1230.9,1.6236091705519953,5.557416481933694,7.500954544395197,,14.749081387693366
DK,Δανία,,19.2,38.3,,65.2,,3.220801546789943,6.424828085523688,,10.937305252640847
EE,Εσθονία,14.9,33.8,28.5,,77.6,10.838830948426805,24.587415171599062,20.73199208256134,,56.44921353006175
EL,Ελλάδα,94.1,79.7,113.4,,289.3,9.047450561115,7.6629310278519185,10.903091324446768,,27.815382012014553
ES,Ισπανία,68.7,103.4,214.8,,388.7,1.4130076299326848,2.126710173726923,4.417962720662891,,7.994702558294535
FI,Φινλανδία,,27.0,52.2,,85.3,,4.818115256811789,9.315022829836124,,15.221675237260948
FR,Γαλλία,136.6,239.0,452.0,,831.4,1.9951111888902628,3.4907143055986296,6.601685632345525,,12.143012023743518
HR,Κροατία,67.1,147.5,74.8,,291.4,17.37456586242192,38.19297264839394,19.36836850237198,,75.45377782875929
HU,Ουγγαρία,51.3,135.7,126.2,,314.5,5.3523209614729925,14.158088781128363,13.166918232707438,,32.812961839829555
IE,Ιρλανδία,,,34.5,,48.9,,,6.446572581586982,,9.137315919988504
IT,Ιταλια,213.0,249.3,375.6,,844.1,3.611930766918038,4.227485165223788,6.369207493213216,,14.313759438288807
LT,Λιθουανία,30.2,69.7,81.5,,186.1,10.464705700942966,24.151986336282278,28.240844855193767,,64.48615003130749
LU,Λουξεμβούργο,12.2,22.5,13.7,,48.4,18.153411204523472,33.47965181162116,20.385387991964883,,72.01845100810951
LV,Λετονία,21.3,40.1,47.8,,111.6,11.378922389338644,21.42229050762815,25.535797662459494,,59.61914265963346
NL,Ολλανδία,35.0,92.4,152.6,,280.3,1.9506277175727371,5.149657174392026,8.504736848617133,,15.62174140673252
PL,Πολωνία,364.8,879.8,598.5,16.4,1859.5,9.961505661919933,24.02448651687817,16.34309522658739,0.4478308466433303,50.77691825202883
PT,Πορτογαλία,402.5,223.8,147.4,,777.4,37.8299215600101,21.03437626119319,13.853740218498109,,73.06579135590522
RO,Ρουμανία,898.5,1362.8,537.1,,2803.6,47.12187852299632,71.47211580538607,28.168237011353725,,147.03494560609067
SE,Σουηδία,13.7,53.7,77.7,,145.4,1.2983681218593353,5.089223952105569,7.36373745025331,,13.77976094294506
SI,Σλοβενία,,26.9,21.9,,56.5,,12.66508753270441,10.310982043354148,,26.601392029657962
SK,Σλοβακία,34.5,129.0,121.9,,286.4,6.359813939495495,23.780173860722286,22.471342586217418,,52.79567281946405
