country_of_citizenship,country_gr,people_ED0-2,people_ED3_4,people_ED5-8,people_NRP,people_TOTAL,people_ED0-2_per_1000,people_ED3_4_per_1000,people_ED5-8_per_1000,people_NRP_per_1000,people_TOTAL_per_1000
AT,Αυστρία,13.8,67.6,81.1,,162.8,1.50045453986985,7.35005267356535,8.817888636481507,,17.7010144268704
BE,Βέλγιο,22.4,51.3,102.5,,178.1,1.884967343361528,4.316911817609213,8.625408602435563,,14.98717338628072
BG,Βουλγαρία,228.4,176.5,118.4,,525.0,35.48038326270397,27.418072004672723,18.39263300483428,,81.55517168528715
CZ,Τσεχία,16.0,47.0,38.6,,102.4,1.4666116687290893,4.3081717768917,3.538200650808928,,9.386314679866171
DE,Γερμανία,49.7,257.9,436.3,,749.5,0.594660214503631,3.0857720185208537,5.22032699372101,,8.96776319457689
DK,Δανία,,16.5,26.9,,51.8,,2.753334287822553,4.488769232874344,,8.643800976315651
EE,Εσθονία,13.9,27.0,18.7,,60.3,10.146022430738798,19.708101124456658,13.649684852864427,,44.0147591779532
EL,Ελλάδα,130.2,126.4,129.1,,386.9,12.55262195060225,12.186262784609251,12.446570613077963,,37.30114771649778
ES,Ισπανία,95.2,140.3,225.0,,465.2,1.9377834326315035,2.8557879789726885,4.579845297711012,,9.46908458886739
FI,Φινλανδία,,12.3,30.0,,44.4,,2.1824100940192914,5.32295144882754,,7.877968144264759
FR,Γαλλία,47.2,138.5,360.0,,549.1,0.6852238446283967,2.0106674254456136,5.22628356072506,,7.971534175539251
HR,Κροατία,97.3,227.4,101.9,,428.8,25.113890071883027,58.6937163653258,26.301186005394452,,110.6766296281957
HU,Ουγγαρία,52.7,137.2,114.5,,306.1,5.524397395168008,14.382302136945933,12.002722993296715,,32.08762889299672
IE,Ιρλανδία,,12.0,48.5,,65.1,,2.2057696316254427,8.914985594486163,,11.966300251568025
IT,Ιταλια,306.0,402.2,513.6,,1230.2,5.191415285671029,6.823487672865647,8.713434283400787,,20.87084668115196
LT,Λιθουανία,24.0,58.7,64.3,,150.0,8.302590685046757,20.306753050510192,22.244024210354436,,51.89119178154224
LU,Λουξεμβούργο,,,,,25.8,,,,,37.83140974789325
LV,Λετονία,21.8,37.1,34.7,,95.3,11.716870950490845,19.940179461615156,18.650248714772125,,51.22100007255861
NL,Ολλανδία,36.7,88.5,139.5,,265.6,2.0339140481224063,4.904670116044495,7.731090182917594,,14.719552348264608
PL,Πολωνία,250.5,481.4,353.9,13.0,1098.8,6.863484740528083,13.18994632371345,9.69655588691772,0.35618882884976083,30.10617578000901
PT,Πορτογαλία,408.2,247.6,155.4,,817.3,37.97338235205195,23.033340201783595,14.45630479546515,,76.03048847705061
RO,Ρουμανία,886.1,1083.4,386.3,,2361.6,46.531164931685936,56.891845262372804,20.285508422424417,,124.01309006056823
SE,Σουηδία,,33.2,55.8,,100.5,,3.1357111216684252,5.270261463527052,,9.492137582158938
SI,Σλοβενία,,25.6,22.8,,55.3,,12.013985029448342,10.69995541685243,,25.95208484876927
SK,Σλοβακία,23.2,104.4,96.0,,223.9,4.280876420877318,19.26394389394793,17.71397139673373,,41.31414787217376
