country_of_citizenship,country_gr,people_ED0-2,people_ED3_4,people_ED5-8,people_NRP,people_TOTAL,people_ED0-2_per_1000,people_ED3_4_per_1000,people_ED5-8_per_1000,people_NRP_per_1000,people_TOTAL_per_1000
AT,Αυστρία,15.0,72.1,98.3,,186.1,1.6474877130366363,7.918924273996097,10.79653614610009,,20.439830893074532
BE,Βέλγιο,24.1,45.3,97.7,,169.1,2.052322121579903,3.8576843198161663,8.319994658852968,,14.400318288761893
BG,Βουλγαρία,263.8,183.8,112.4,,562.5,40.913750773530445,28.506244852823713,17.432545818592956,,87.24027600496922
CZ,Τσεχία,14.6,41.8,38.8,,95.9,1.3484147675799345,3.8605299510165247,3.5834584234316065,,8.857053165131212
DE,Γερμανία,50.4,238.9,428.7,,723.4,0.5974477246576811,2.8319496313634924,5.081861896046585,,8.57527150828108
DK,Δανία,,19.6,35.9,,65.6,,3.303749047222373,6.051254632412408,,11.057445790703452
EE,Εσθονία,14.9,30.2,17.3,,62.7,10.908686242755609,22.110223122900624,12.665790067092082,,45.904337410790376
EL,Ελλάδα,127.9,110.4,107.8,,346.7,12.281565303262479,10.60113220860186,10.351467863109423,,33.29178022393355
ES,Ισπανία,87.3,133.2,212.5,,437.3,1.8155213600247277,2.770073827666595,4.419224387230867,,9.094243880169683
FI,Φινλανδία,,14.1,26.4,,44.0,,2.534161758600424,4.744813505464623,,7.908022509107706
FR,Γαλλία,45.0,122.8,337.6,,509.0,0.6600855937389972,1.8013002424699744,4.952108809917455,,7.466301493625545
HR,Κροατία,119.4,218.3,108.2,,447.6,31.005787227589227,56.68813527456222,28.09737167525255,,116.23275010945511
HU,Ουγγαρία,57.6,151.5,113.2,,323.6,6.000160004266781,15.781670844555853,11.791981119496521,,33.70923224619323
IE,Ιρλανδία,,12.1,33.2,,51.7,,2.2954075723788483,6.298143091155188,,9.807650536527808
IT,Ιταλια,364.8,425.8,442.6,,1238.2,6.183344189498075,7.217291545746382,7.502050817631162,,20.98743633617466
LT,Λιθουανία,29.7,70.3,71.4,,176.7,10.394504701850956,24.603827627613544,24.988809283237654,,61.84205322616378
LU,Λουξεμβούργο,13.4,12.6,,,37.5,20.278174177409813,19.067536913086837,,,56.7486217651394
LV,Λετονία,17.8,32.4,28.8,,81.6,9.452960369791311,17.206512133777444,15.294677452246619,,43.33491944803208
NL,Ολλανδία,45.5,101.3,138.1,,285.6,2.5545593522670536,5.687403568893463,7.75350871534242,,16.034772549614736
PL,Πολωνία,285.3,521.2,344.2,18.7,1169.5,7.762476173850735,14.18087129972311,9.365034346440318,0.5087918137084078,31.819894445560582
PT,Πορτογαλία,440.5,223.0,140.4,,806.9,41.88607728661135,21.20452947767158,13.350295689081122,,76.72616518176324
RO,Ρουμανία,882.5,1041.3,374.9,,2305.2,46.3144022099081,54.64837056224057,19.67509279149524,,120.97899147227213
SE,Σουηδία,,30.1,44.9,,87.3,,2.860793593647175,4.26742964633748,,8.29725185134214
SI,Σλοβενία,,18.6,24.1,,48.8,,8.786134157655368,11.384184580617978,,23.051792843740966
SK,Σλοβακία,26.3,87.0,92.3,,205.9,4.8445400007957575,16.025664641415624,17.00194076324899,,37.92740631801697
