Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,33922073.0,5138725.0,28783348.0
1,Beverages and tobacco,Ποτά και καπνός,12178849.0,36.0,12178813.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",453946144.0,113494981.0,340451163.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",172831048.0,241891209.0,-69060161.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,2726081.0,1477.0,2724604.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,59384060.0,53785153.0,5598907.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",1132445554.0,47869565.0,1084575989.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,17976773.0,1340575.0,16636198.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,11477862.0,3804650.0,7673212.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",138.0,,
