section,2014,2024
"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",20009374.0,99715563.0
Διάφορα βιομηχανικά είδη,9656084.0,27567227.0
"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",,
Λάδια και λίπη ζωικής ή φυτικής προέλευσης,34167.0,19687.0
Μηχανήματα και υλικό μεταφορών,21298337.0,27502093.0
"Ορυκτά, καύσιμα, λιπαντικά κλπ.",259938588.0,129748037.0
Ποτά και καπνός,9423.0,86.0
"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",21251556.0,75013665.0
Τρόφιμα και ζωντανά ζώα,4294367.0,13677185.0
Χημικά προϊόντα και συναφή,44178966.0,62609563.0
