Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,97713533.0,13677185.0,84036348.0
1,Beverages and tobacco,Ποτά και καπνός,8786840.0,86.0,8786754.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",21713881.0,75013665.0,-53299784.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",131553027.0,129748037.0,1804990.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,3718301.0,19687.0,3698614.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,80540958.0,62609563.0,17931395.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",454477784.0,99715563.0,354762221.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,120826955.0,27502093.0,93324862.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,66464773.0,27567227.0,38897546.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",4423.0,,
