date,AT_EUR,AT_PPS,BE_EUR,BE_PPS,BG_EUR,BG_PPS,CY_EUR,CY_PPS,CZ_EUR,CZ_PPS,DE_EUR,DE_PPS,DK_EUR,DK_PPS,EE_EUR,EE_PPS,EL_EUR,EL_PPS,ES_EUR,ES_PPS,EU27_2020_EUR,EU27_2020_PPS,FI_EUR,FI_PPS,FR_EUR,FR_PPS,HR_EUR,HR_PPS,HU_EUR,HU_PPS,IE_EUR,IE_PPS,IT_EUR,IT_PPS,LT_EUR,LT_PPS,LU_EUR,LU_PPS,LV_EUR,LV_PPS,MT_EUR,MT_PPS,NL_EUR,NL_PPS,PL_EUR,PL_PPS,PT_EUR,PT_PPS,RO_EUR,RO_PPS,SE_EUR,SE_PPS,SI_EUR,SI_PPS,SK_EUR,SK_PPS,EU_Median_EUR,EU_Median_PPS
2007-S1,,,,,,,,,0.2106,0.3451,0.3232,0.3157,,,,,,,,,0.2992,,,,,,0.1481,0.2303,,,,,,,,,0.2953,0.2592,,,,,,,,,,,,,0.2715,0.2287,,,,,0.27,0.26
2007-S2,0.2653,0.2482,0.2443,0.2235,0.0741,0.1848,0.1674,0.1917,0.2166,0.3451,0.3347,0.327,0.2676,0.1964,0.0812,0.1195,0.1187,0.134,0.2966,0.3304,0.2545,,0.2038,0.1758,0.2312,0.2101,0.1831,0.2832,0.1503,0.2343,0.4575,0.3873,,,0.0959,0.1668,0.2418,0.2122,0.0729,0.1094,,,,,0.1494,0.245,0.1888,0.2322,0.1092,0.1957,0.2906,0.2462,0.2288,0.295,0.223,0.3291,0.21,0.23
2008-S1,0.265,0.2428,0.2785,0.2491,0.0741,0.1734,0.1921,0.219,0.2492,0.344,0.3415,0.3287,0.292,0.2123,0.0838,0.118,0.1222,0.1362,0.3009,0.3264,0.2642,,0.2149,0.183,0.232,0.2054,0.1967,0.2916,0.1616,0.2474,0.4448,0.3652,0.2758,0.2731,0.0922,0.1464,0.2418,0.2084,0.0853,0.118,0.0466,0.065,,,0.1757,0.2582,0.3361,0.4044,0.1073,0.1926,0.287,0.2396,0.1858,0.2288,0.2355,0.3552,0.22,0.23
2008-S2,0.2649,0.2427,0.3593,0.3213,0.0823,0.1925,0.1992,0.2271,0.2541,0.344,0.348,0.3349,0.307,0.2231,0.0872,0.1228,0.1055,0.1176,0.3197,0.3468,0.2711,,0.2267,0.193,0.229,0.2028,0.2076,0.3038,0.1589,0.2395,0.4878,0.4005,0.2749,0.2722,0.0923,0.1466,0.2462,0.2122,0.1005,0.1406,0.1271,0.1772,,,0.1737,0.2585,0.3416,0.4111,0.1096,0.1982,0.2974,0.2609,0.1932,0.2379,0.2555,0.3626,0.23,0.24
2009-S1,0.2727,0.243,0.2628,0.2303,0.0844,0.1887,0.1393,0.1567,0.2517,0.3696,0.3599,0.3346,0.2991,0.2139,0.0945,0.1349,0.1049,0.1131,0.3097,0.3284,0.2646,,0.2429,0.2023,0.2169,0.1895,0.2059,0.2968,0.1411,0.2451,0.433,0.3651,0.2935,0.2833,0.1011,0.1631,0.2684,0.2226,0.1053,0.1546,0.2483,0.3414,,,0.1447,0.2613,0.3309,0.3931,0.0982,0.1974,0.255,0.2337,0.2656,0.31,0.2349,0.3457,0.25,0.24
2009-S2,0.2726,0.2429,0.278,0.2436,0.0823,0.1841,0.1601,0.1801,0.2651,0.3696,0.3567,0.3316,0.2847,0.2035,0.0947,0.1352,0.1099,0.1185,0.3184,0.3376,0.2701,,0.2465,0.2053,0.2361,0.2063,0.1877,0.2675,0.1816,0.295,0.4162,0.3509,0.2765,0.2669,0.0984,0.1587,0.2684,0.2226,0.1055,0.1546,0.2273,0.3125,,,0.1593,0.269,0.3257,0.3869,0.0964,0.1944,0.2744,0.2405,0.2828,0.3301,0.2335,0.3436,0.24,0.24
2010-S1,0.2538,0.2302,0.293,0.2642,0.0823,0.1857,0.212,0.2389,0.2612,0.3675,0.3664,0.3511,0.2973,0.2178,0.0995,0.1468,0.1175,0.1278,0.387,0.4118,0.2841,,0.2505,0.2099,0.2276,0.2027,0.1896,0.2687,0.1973,0.3262,0.4034,0.3652,0.2833,0.2771,0.1212,0.205,0.2454,0.2031,0.105,0.1606,0.4235,0.5798,,,0.1729,0.2902,0.3379,0.4081,0.1039,0.2067,0.3443,0.286,0.261,0.3106,0.2246,0.336,0.25,0.27
2010-S2,0.257,0.2331,0.2852,0.2572,0.0842,0.1898,0.2224,0.2506,0.2703,0.3675,0.3725,0.357,0.301,0.2208,0.103,0.152,0.1181,0.1285,0.3629,0.3861,0.2847,,0.2585,0.2166,0.2397,0.2135,0.1836,0.2617,0.178,0.3023,0.4386,0.3971,0.2753,0.2693,0.1262,0.2135,0.2482,0.2054,0.1049,0.1606,0.4166,0.5704,,,0.1786,0.2986,0.3363,0.4061,0.1044,0.2139,0.3324,0.2622,0.2603,0.3097,0.2376,0.3555,0.25,0.26
2011-S1,0.2946,0.2661,0.3034,0.2734,0.084,0.1773,0.2353,0.2557,0.2883,0.3953,0.3835,0.369,0.3215,0.238,0.1008,0.1451,0.158,0.1703,0.3584,0.3841,0.2922,,0.279,0.2319,0.2422,0.2164,0.1822,0.2693,0.1887,0.3073,0.4262,0.3865,0.2654,0.2605,0.1278,0.2118,0.2492,0.2102,0.1168,0.1749,0.4278,0.5658,,,0.1889,0.3083,0.333,0.4056,0.1084,0.2148,0.3635,0.277,0.23,0.2753,0.232,0.3376,0.25,0.27
2011-S2,0.2918,0.2635,0.2965,0.2671,0.0852,0.1799,0.2657,0.2887,0.2827,0.3953,0.3831,0.3686,0.3283,0.2427,0.1069,0.1539,0.1424,0.1535,0.3775,0.4046,0.294,,0.286,0.2377,0.2465,0.2203,0.1928,0.2881,0.1805,0.3157,0.5294,0.4801,0.2544,0.2497,0.136,0.2253,0.2463,0.2078,0.1174,0.1753,0.4332,0.5729,,,0.1783,0.3156,0.3763,0.4583,0.1103,0.2247,0.3391,0.2635,0.2252,0.2696,0.2462,0.3583,0.25,0.27
2012-S1,0.2978,0.2702,0.2921,0.2637,0.0857,0.1823,0.318,0.3503,0.2915,0.4148,0.3917,0.3791,0.3308,0.2442,0.1143,0.1612,0.1818,0.2033,0.3418,0.3776,0.2926,,0.2851,0.2362,0.2411,0.2148,0.2229,0.3485,0.1693,0.2971,0.5466,0.4985,0.2571,0.256,0.1315,0.2181,0.2492,0.211,0.1171,0.1704,0.4385,0.572,,,0.1797,0.3163,0.3914,0.4912,0.1085,0.2243,0.3524,0.2698,0.2212,0.2734,0.2563,0.3753,0.26,0.27
2012-S2,0.2988,0.2711,0.3102,0.28,0.0957,0.2036,0.3179,0.3502,0.2921,0.4148,0.4028,0.3898,0.3278,0.2425,0.1152,0.1624,0.1583,0.177,0.3726,0.4117,0.3043,,0.292,0.242,0.2604,0.232,0.231,0.3593,0.1778,0.2991,0.5901,0.5382,0.2661,0.265,0.1312,0.2176,0.2429,0.2057,0.1181,0.1712,0.4386,0.5721,,,0.188,0.3215,0.3341,0.4193,0.11,0.2344,0.3611,0.2655,0.2268,0.2803,0.263,0.3851,0.26,0.28
2013-S1,0.3181,0.2846,0.2907,0.2582,0.0957,0.2013,0.3073,0.3444,0.2922,0.4294,0.4257,0.405,0.3304,0.2425,0.1424,0.1953,0.2071,0.2426,0.3714,0.4124,0.3172,,0.2949,0.2391,0.2828,0.2501,0.2386,0.3754,0.1572,0.2718,0.6076,0.5514,0.2789,0.2765,0.1421,0.2318,0.239,0.1972,0.1168,0.1683,0.4265,0.5469,,,0.1879,0.3254,0.3251,0.4169,0.1357,0.2703,0.3728,0.2727,0.2394,0.2973,0.2734,0.4024,0.28,0.27
2013-S2,0.3112,0.2785,0.2929,0.2602,0.088,0.1851,0.2721,0.305,0.286,0.4294,0.4267,0.4059,0.3217,0.2361,0.1408,0.1931,0.196,0.2296,0.4024,0.4468,0.318,,0.298,0.2416,0.2809,0.2484,0.2175,0.343,0.15,0.2608,0.6414,0.582,0.2762,0.2738,0.1434,0.2339,0.2248,0.1854,0.1164,0.1683,0.4276,0.5483,,,0.1822,0.3184,0.3509,0.45,0.1317,0.2656,0.3502,0.2633,0.2551,0.3168,0.2617,0.3852,0.27,0.27
2014-S1,0.3175,0.2873,0.2661,0.2398,0.0851,0.1805,0.2638,0.3001,0.2587,0.407,0.4329,0.4155,0.3325,0.247,0.1347,0.1804,0.2302,0.2777,0.476,0.5322,0.3267,,0.2967,0.2386,0.2678,0.244,0.2286,0.3603,0.1369,0.2405,0.6475,0.5818,0.2935,0.2924,0.1367,0.2229,0.2357,0.1977,0.1164,0.1697,0.3882,0.4843,,,0.1845,0.3182,0.3989,0.5128,0.1334,0.2605,0.3554,0.2686,0.2527,0.3161,0.2389,0.3586,0.26,0.28
