Country,Household_Electricity_Price_excluding_tax_DC_2025-S2,Household_Electricity_Price_including_tax_DC_2025-S2,Country_Code,Country_En
Αυστρία,0.25,0.33,AT,Austria
Βέλγιο,0.27,0.35,BE,Belgium
Βουλγαρία,0.11,0.14,BG,Bulgaria
Κύπρος,0.19,0.28,CY,Cyprus
Τσεχία,0.24,0.32,CZ,Czech Republic
Γερμανία,0.26,0.39,DE,Germany
Δανία,0.17,0.33,DK,Denmark
Εσθονία,0.18,0.23,EE,Estonia
Ελλάδα,0.2,0.24,EL,Greece
Ισπανία,0.18,0.27,ES,Spain
E.E.,0.21,0.29,EU27_2020,E.U.
Φινλανδία,0.16,0.23,FI,Finland
Γαλλία,0.18,0.26,FR,France
Κροατία,0.13,0.17,HR,Croatia
Ουγγαρία,0.09,0.11,HU,Hungary
Ιρλανδία,0.36,0.4,IE,Ireland
Ιταλια,0.22,0.3,IT,Italy
Λιθουανία,0.16,0.2,LT,Lithuania
Λουξεμβούργο,0.28,0.27,LU,Luxembourg
Λετονία,0.2,0.25,LV,Latvia
Μάλτα,0.12,0.13,MT,Malta
Ολλανδία,0.27,0.26,NL,Netherlands
Πολωνία,0.15,0.27,PL,Poland
Πορτογαλία,0.16,0.24,PT,Portugal
Ρουμανία,0.22,0.29,RO,Romania
Σουηδία,0.18,0.27,SE,Sweden
Σλοβενία,0.16,0.21,SI,Slovenia
Σλοβακία,0.12,0.19,SK,Slovakia
