date,EL_NETTUR,EL_VOL_SLS,EU27_2020_NETTUR,EU27_2020_VOL_SLS,SE_NETTUR,SE_VOL_SLS
2024-01-01,-3.1,-8.9,0.8,0.3,1.1,0.5
2024-02-01,-0.8,0.9,0.1,0.3,-0.1,0.1
2024-03-01,2.0,8.1,0.2,0.2,-0.7,-0.1
2024-04-01,-3.6,-10.9,-0.1,-0.3,0.3,-0.4
2024-05-01,17.2,22.6,1.0,1.0,2.1,0.7
2024-06-01,-11.3,-7.6,-0.9,-1.2,-1.1,0.0
2024-07-01,1.8,-1.1,0.8,0.7,-0.3,-0.8
2024-08-01,-0.4,-1.9,0.9,0.7,0.6,0.4
2024-09-01,2.6,3.5,0.2,-0.2,0.9,0.5
2024-10-01,-1.3,-3.0,0.3,0.0,-0.1,-0.2
2024-11-01,0.6,2.6,0.3,0.1,-0.1,-0.6
2024-12-01,-3.1,-5.7,-0.2,-0.4,1.1,1.7
2025-01-01,1.5,2.5,0.5,0.4,-0.5,-0.9
2025-02-01,1.1,1.3,0.5,0.3,0.9,0.1
2025-03-01,2.5,1.0,0.2,-0.1,0.1,-0.3
2025-04-01,1.3,1.0,1.1,0.8,2.3,1.3
2025-05-01,0.9,2.4,-0.2,-0.6,-1.9,-3.0
2025-06-01,-0.1,0.9,0.6,0.4,-0.8,0.6
2025-07-01,-1.0,-1.9,-0.2,-0.6,2.0,1.8
2025-08-01,0.1,0.7,0.4,0.4,-0.2,-0.4
2025-09-01,-1.5,-4.5,0.0,-0.2,-0.1,0.3
2025-10-01,1.9,3.8,0.6,0.5,0.4,0.1
2025-11-01,1.0,-0.2,0.0,0.0,0.3,0.5
2025-12-01,2.2,-0.2,0.3,0.1,-0.3,-0.6
2026-01-01,2.4,4.8,0.5,0.3,0.4,0.2
2026-02-01,0.3,-0.7,-0.3,-0.4,-0.6,-0.5
2026-03-01,-0.8,-2.7,0.3,0.1,0.7,1.6
2026-04-01,0.7,1.9,0.3,0.5,-0.2,2.9
2026-05-01,,,0.6,0.6,-0.5,-1.4
