date,EL_NETTUR_I21_SCA,EL_NETTUR_PCH_PRE_SCA,EL_NETTUR_PCH_SM_CA,EU27_2020_NETTUR_I21_SCA,EU27_2020_NETTUR_PCH_PRE_SCA,EU27_2020_NETTUR_PCH_SM_CA,SE_NETTUR_I21_SCA,SE_NETTUR_PCH_PRE_SCA,SE_NETTUR_PCH_SM_CA,EL_VOL_SLS_I21_SCA,EL_VOL_SLS_PCH_PRE_SCA,EL_VOL_SLS_PCH_SM_CA,EU27_2020_VOL_SLS_I21_SCA,EU27_2020_VOL_SLS_PCH_PRE_SCA,EU27_2020_VOL_SLS_PCH_SM_CA,SE_VOL_SLS_I21_SCA,SE_VOL_SLS_PCH_PRE_SCA,SE_VOL_SLS_PCH_SM_CA
2024-01-01,,,,,,,,,,,,,,,,,,
2024-02-01,,,,,,,,,,,,,,,,,,
2024-03-01,118.13333333333333,1.0333333333333334,5.333333333333333,114.59999999999998,0.3666666666666667,4.2,111.53333333333335,0.6333333333333333,3.8000000000000003,95.36666666666667,1.2999999999999998,-0.43333333333333296,93.76666666666667,0.39999999999999997,-0.30000000000000004,97.23333333333333,0.4000000000000001,0.13333333333333333
2024-04-01,112.46666666666665,-4.166666666666667,-0.7333333333333331,114.63333333333333,0.03333333333333336,3.766666666666667,111.43333333333332,-0.10000000000000002,3.1999999999999997,90.96666666666665,-3.933333333333333,-5.533333333333334,93.60000000000001,-0.16666666666666666,0.3,97.10000000000001,-0.09999999999999994,0.03333333333333336
2024-05-01,117.76666666666667,7.066666666666666,5.566666666666666,114.73333333333333,0.10000000000000002,3.366666666666667,113.2,1.5999999999999999,4.0,95.7,7.633333333333334,1.6666666666666667,93.56666666666666,-0.03333333333333336,0.6333333333333333,98.36666666666667,1.3333333333333333,0.9666666666666667
2024-06-01,114.73333333333335,0.2333333333333331,-1.2666666666666666,114.66666666666667,-0.033333333333333326,2.5000000000000004,113.46666666666665,0.3333333333333333,3.4,93.23333333333333,0.33333333333333454,-3.8000000000000003,93.23333333333333,-0.3333333333333333,-0.1333333333333334,98.26666666666665,0.0,0.09999999999999987
2024-07-01,119.0,5.8999999999999995,-0.3000000000000007,115.43333333333334,0.7000000000000001,2.4333333333333336,114.0,0.5666666666666665,3.166666666666666,96.66666666666667,5.966666666666668,-2.033333333333333,93.76666666666667,0.6,-4.625929269271486e-17,98.43333333333334,0.26666666666666666,-0.16666666666666674
2024-08-01,108.96666666666665,-8.366666666666667,-14.0,115.89999999999999,0.4333333333333333,2.4333333333333336,112.8,-1.0000000000000002,2.6,88.0,-8.933333333333332,-15.333333333333334,93.90000000000002,0.1666666666666667,0.09999999999999994,97.26666666666667,-1.1000000000000003,-0.6999999999999998
2024-09-01,108.93333333333334,0.6333333333333329,-16.733333333333334,116.7,0.6999999999999998,2.966666666666667,112.86666666666667,0.06666666666666647,3.1333333333333333,87.53333333333332,0.16666666666666785,-18.466666666666665,94.33333333333333,0.46666666666666673,0.6999999999999998,97.2,-0.03333333333333351,0.0333333333333334
2024-10-01,111.46666666666665,2.8333333333333326,-12.333333333333334,117.33333333333333,0.5333333333333332,3.633333333333334,113.36666666666667,0.4666666666666665,3.933333333333333,89.36666666666667,2.600000000000001,-14.0,94.56666666666666,0.23333333333333336,1.2,97.53333333333332,0.3666666666666665,0.9666666666666668
