date,domestic,international,total
2016-01-01,24819,3,24822
2016-02-01,24876,179,25055
2016-03-01,28922,302,29224
2016-04-01,29091,1759,30850
2016-05-01,32339,9173,41512
2016-06-01,30660,10920,41580
2016-07-01,37699,13985,51684
2016-08-01,38733,17601,56334
2016-09-01,30085,13388,43473
2016-10-01,23977,3030,27007
2016-11-01,22738,138,22876
2016-12-01,25408,145,25553
2017-01-01,20607,178,20785
2017-02-01,20594,128,20722
2017-03-01,24223,239,24462
2017-04-01,23999,1021,25020
2017-05-01,27300,12335,39635
2017-06-01,31752,18756,50508
2017-07-01,38685,24193,62878
2017-08-01,40861,23303,64164
2017-09-01,31020,20085,51105
2017-10-01,26928,3303,30231
2017-11-01,23676,85,23761
2017-12-01,22725,0,22725
2018-01-01,20155,54,20209
2018-02-01,18991,121,19112
2018-03-01,23538,137,23675
2018-04-01,26120,1493,27613
2018-05-01,27159,14356,41515
2018-06-01,29213,24184,53397
2018-07-01,37728,30222,67950
2018-08-01,39962,31674,71636
2018-09-01,33905,25904,59809
2018-10-01,31736,4644,36380
2018-11-01,27634,7,27641
2018-12-01,28114,5,28119
2019-01-01,23428,38,23466
2019-02-01,21979,8,21987
2019-03-01,27241,0,27241
2019-04-01,26829,1746,28575
2019-05-01,30439,15284,45723
2019-06-01,31613,25839,57452
2019-07-01,39127,29631,68758
2019-08-01,41486,32432,73918
2019-09-01,35175,24392,59567
2019-10-01,29262,4444,33706
2019-11-01,27968,4,27972
2019-12-01,28212,0,28212
2020-01-01,25250,46,25296
2020-02-01,24635,167,24802
2020-03-01,14589,60,14649
2020-04-01,1197,0,1197
2020-05-01,4822,0,4822
2020-06-01,14275,8,14283
2020-07-01,25703,4561,30264
2020-08-01,30142,7935,38077
2020-09-01,21047,2045,23092
2020-10-01,15495,31,15526
2020-11-01,7025,9,7034
2020-12-01,7050,3,7053
2021-01-01,6984,0,6984
2021-02-01,6160,239,6399
2021-03-01,7882,623,8505
2021-04-01,9755,8,9763
2021-05-01,15531,620,16151
2021-06-01,23202,4381,27583
2021-07-01,32314,9712,42026
2021-08-01,35939,15477,51416
2021-09-01,28686,12400,41086
2021-10-01,25726,3066,28792
2021-11-01,23008,0,23008
2021-12-01,23631,0,23631
2022-01-01,16061,0,16061
2022-02-01,16995,9,17004
2022-03-01,21005,0,21005
2022-04-01,26228,731,26959
2022-05-01,29473,12047,41520
2022-06-01,30714,21002,51716
2022-07-01,37164,22471,59635
2022-08-01,40335,25501,65836
2022-09-01,31511,22520,54031
2022-10-01,28441,5177,33618
2022-11-01,26417,2,26419
2022-12-01,25375,6,25381
2023-01-01,22791,0,22791
2023-02-01,21556,0,21556
2023-03-01,25727,13,25740
2023-04-01,29096,1413,30509
2023-05-01,30280,13057,43337
2023-06-01,34335,23444,57779
2023-07-01,43348,27550,70898
2023-08-01,45024,27321,72345
2023-09-01,37114,23455,60569
2023-10-01,31108,5491,36599
2023-11-01,27456,14,27470
2023-12-01,27881,25,27906
2024-01-01,23798,1,23799
2024-02-01,24112,0,24112
2024-03-01,27332,2,27334
2024-04-01,29302,1411,30713
2024-05-01,35410,19124,54534
2024-06-01,35281,35990,71271
2024-07-01,42599,40661,83260
2024-08-01,43491,38196,81687
2024-09-01,36097,36358,72455
2024-10-01,34053,5848,39901
2024-11-01,27369,5,27374
2024-12-01,27094,9,27103
2025-01-01,24924,0,24924
2025-02-01,22757,9,22766
2025-03-01,27581,14,27595
2025-04-01,34451,1560,36011
2025-05-01,35907,15621,51528
2025-06-01,38765,35747,74512
2025-07-01,44079,41418,85497
2025-08-01,45286,42641,87927
2025-09-01,37552,36903,74455
2025-10-01,34377,7979,42356
2025-11-01,30410,8,30418
2025-12-01,29801,54,29855
2026-01-01,26009,49,26058
2026-02-01,23974,45,24019
2026-03-01,27417,15,27432
2026-04-01,36000,1108,37108
2026-05-01,35536,19025,54561
