year,domestic,international,total
2016,155983,207330,363313
2017,161313,248972,410285
2018,172621,290128,462749
2019,181455,298525,479980
2020,100669,43630,144299
2021,131580,138718,270298
2022,174647,278617,453264
2023,193356,283950,477306
2024,192817,295377,488194
2025,210689,285728,496417
