Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,27617.0,27931.0,30390.0,33928.0,29159.0,4659.0,14245.0,26011.0,27965.0,18664.0,22218.0
Φεβρουάριος,34137.0,29811.0,30461.0,38353.0,28755.0,3708.0,16060.0,25987.0,31558.0,25027.0,31773.0
Μάρτιος,48463.0,43238.0,53646.0,56935.0,17915.0,5058.0,34048.0,47600.0,56185.0,40146.0,51864.0
Απρίλιος,77366.0,100446.0,126184.0,154169.0,542.0,9602.0,147077.0,160434.0,178946.0,129260.0,150478.0
Μάιος,176419.0,201632.0,249996.0,260658.0,3482.0,43430.0,274067.0,306143.0,318035.0,249937.0,256780.0
Ιούνιος,240502.0,277135.0,335876.0,342918.0,14164.0,152055.0,417393.0,412078.0,418862.0,346946.0,360029.0
Ιούλιος,314204.0,347422.0,391652.0,386366.0,100092.0,340654.0,526303.0,504890.0,509677.0,450624.0,
Αύγουστος,323949.0,347718.0,385996.0,380595.0,183063.0,406901.0,532305.0,499904.0,514055.0,465850.0,
Σεπτέμβριος,257016.0,295926.0,342782.0,336222.0,121206.0,310164.0,438460.0,415467.0,425342.0,360515.0,
Οκτώβριος,137634.0,175926.0,209861.0,224404.0,65291.0,211783.0,265493.0,280310.0,293622.0,236881.0,
Νοέμβριος,38007.0,48953.0,57380.0,54142.0,6245.0,36865.0,49479.0,62157.0,65533.0,59042.0,
Δεκέμβριος,31667.0,34873.0,40854.0,31750.0,3049.0,21705.0,29720.0,34824.0,37342.0,35327.0,
