year,domestic,international,total
2016,392931,624608,1017539
2017,475578,731448,1207026
2018,508679,887163,1395842
2019,524877,995268,1520145
2020,132546,276514,409060
2021,284008,768072,1052080
2022,490304,1197733,1688037
2023,531607,1127580,1659187
2024,543755,1069883,1613638
2025,491083,1090659,1581742
