date,domestic,international,total
2016-01-01,14442,0,14442
2016-02-01,14681,2,14683
2016-03-01,16229,2053,18282
2016-04-01,22740,46200,68940
2016-05-01,28299,255786,284085
2016-06-01,32744,409344,442088
2016-07-01,41003,554222,595225
2016-08-01,39973,572346,612319
2016-09-01,32248,439456,471704
2016-10-01,23576,193509,217085
2016-11-01,16217,3055,19272
2016-12-01,17331,57,17388
2017-01-01,14935,0,14935
2017-02-01,13754,14,13768
2017-03-01,17596,4667,22263
2017-04-01,22411,59492,81903
2017-05-01,25982,262079,288061
2017-06-01,29742,445991,475733
2017-07-01,37358,582126,619484
2017-08-01,37894,590278,628172
2017-09-01,30541,474583,505124
2017-10-01,23213,198634,221847
2017-11-01,21652,3857,25509
2017-12-01,20667,484,21151
2018-01-01,19445,169,19614
2018-02-01,18257,30,18287
2018-03-01,20316,12027,32343
2018-04-01,24658,88733,113391
2018-05-01,28010,326995,355005
2018-06-01,31736,529812,561548
2018-07-01,42862,644397,687259
2018-08-01,45694,659063,704757
2018-09-01,35394,531874,567268
2018-10-01,28538,227723,256261
2018-11-01,22468,2354,24822
2018-12-01,22910,676,23586
2019-01-01,20537,36,20573
2019-02-01,19906,27,19933
2019-03-01,23221,975,24196
2019-04-01,24627,106020,130647
2019-05-01,28579,319473,348052
2019-06-01,34840,506881,541721
2019-07-01,40993,617503,658496
2019-08-01,42577,642007,684584
2019-09-01,34646,510535,545181
2019-10-01,27958,225290,253248
2019-11-01,22816,3996,26812
2019-12-01,22144,377,22521
2020-01-01,20638,10,20648
2020-02-01,20877,204,21081
2020-03-01,10411,175,10586
2020-04-01,664,3,667
2020-05-01,2897,0,2897
2020-06-01,8923,32,8955
2020-07-01,18297,133877,152174
2020-08-01,21523,322710,344233
2020-09-01,14626,234236,248862
2020-10-01,11958,126542,138500
2020-11-01,4872,2736,7608
2020-12-01,4785,41,4826
2021-01-01,4779,39,4818
2021-02-01,4634,23,4657
2021-03-01,5550,160,5710
2021-04-01,6277,187,6464
2021-05-01,11710,22580,34290
2021-06-01,18810,140931,159741
2021-07-01,31840,416016,447856
2021-08-01,39010,560867,599877
2021-09-01,29738,426672,456410
2021-10-01,24581,261323,285904
2021-11-01,18617,1605,20222
2021-12-01,18665,90,18755
2022-01-01,14153,148,14301
2022-02-01,15785,78,15863
2022-03-01,18934,5765,24699
2022-04-01,22320,117058,139378
2022-05-01,27432,304637,332069
2022-06-01,38875,570231,609106
2022-07-01,45165,751073,796238
2022-08-01,46729,775951,822680
2022-09-01,40403,598153,638556
2022-10-01,27982,275757,303739
2022-11-01,24071,5112,29183
2022-12-01,23266,28,23294
2023-01-01,12507,4,12511
2023-02-01,9249,0,9249
2023-03-01,21889,10558,32447
2023-04-01,28335,122355,150690
2023-05-01,33883,331203,365086
2023-06-01,45924,630131,676055
2023-07-01,49619,810015,859634
2023-08-01,51242,815382,866624
2023-09-01,46177,655226,701403
2023-10-01,32922,315646,348568
2023-11-01,18582,5097,23679
2023-12-01,22083,24,22107
2024-01-01,13249,4,13253
2024-02-01,19770,18,19788
2024-03-01,24613,10203,34816
2024-04-01,25612,137229,162841
2024-05-01,36352,380171,416523
2024-06-01,49776,658586,708362
2024-07-01,55607,839118,894725
2024-08-01,56311,871235,927546
2024-09-01,47964,672769,720733
2024-10-01,35457,361718,397175
2024-11-01,16055,12453,28508
2024-12-01,19450,28,19478
2025-01-01,9924,15,9939
2025-02-01,22797,362,23159
2025-03-01,26093,3735,29828
2025-04-01,31440,139390,170830
2025-05-01,35778,410119,445897
2025-06-01,53544,693961,747505
2025-07-01,59367,868567,927934
2025-08-01,61965,914280,976245
2025-09-01,51159,726111,777270
2025-10-01,37847,409001,446848
2025-11-01,25564,10219,35783
2025-12-01,27501,71,27572
2026-01-01,13566,26,13592
2026-02-01,24230,47,24277
2026-03-01,26330,12496,38826
2026-04-01,33015,156493,189508
2026-05-01,37403,456497,493900
2026-06-01,49456,738935,788391
