date,domestic,international,total
2016-01-01,62539,4356,66895
2016-02-01,62190,4402,66592
2016-03-01,71474,15646,87120
2016-04-01,69885,90623,160508
2016-05-01,75593,249402,324995
2016-06-01,76362,318189,394551
2016-07-01,86697,434470,521167
2016-08-01,90074,392659,482733
2016-09-01,78263,341507,419770
2016-10-01,71903,219025,290928
2016-11-01,66680,10726,77406
2016-12-01,69371,4661,74032
2017-01-01,63600,4225,67825
2017-02-01,62573,3951,66524
2017-03-01,68645,13823,82468
2017-04-01,69185,114370,183555
2017-05-01,71333,257459,328792
2017-06-01,78053,358690,436743
2017-07-01,88279,451333,539612
2017-08-01,89927,411159,501086
2017-09-01,73910,373931,447841
2017-10-01,70839,218646,289485
2017-11-01,48131,3418,51549
2017-12-01,46849,80,46929
2018-01-01,43251,4,43255
2018-02-01,39314,524,39838
2018-03-01,52029,18674,70703
2018-04-01,67599,126429,194028
2018-05-01,68802,305457,374259
2018-06-01,47916,397248,445164
2018-07-01,62187,464252,526439
2018-08-01,62177,427519,489696
2018-09-01,53109,386533,439642
2018-10-01,45059,224184,269243
2018-11-01,52109,6944,59053
2018-12-01,53171,4504,57675
2019-01-01,48022,2927,50949
2019-02-01,44786,2875,47661
2019-03-01,51057,3560,54617
2019-04-01,49801,119460,169261
2019-05-01,54324,288963,343287
2019-06-01,60783,400210,460993
2019-07-01,70933,442521,513454
2019-08-01,72778,429236,502014
2019-09-01,60235,375141,435376
2019-10-01,55956,232213,288169
2019-11-01,51645,10319,61964
2019-12-01,52626,3171,55797
2020-01-01,47227,2306,49533
2020-02-01,44590,3011,47601
2020-03-01,21528,1055,22583
2020-04-01,818,6,824
2020-05-01,5702,1,5703
2020-06-01,17804,0,17804
2020-07-01,32940,79169,112109
2020-08-01,42343,160238,202581
2020-09-01,32723,107675,140398
2020-10-01,31142,53926,85068
2020-11-01,9450,703,10153
2020-12-01,9118,7,9125
2021-01-01,10539,16,10555
2021-02-01,8868,2,8870
2021-03-01,10274,307,10581
2021-04-01,14270,219,14489
2021-05-01,26532,19599,46131
2021-06-01,44012,91309,135321
2021-07-01,62168,313760,375928
2021-08-01,68096,365196,433292
2021-09-01,59683,291897,351580
2021-10-01,59371,249840,309211
2021-11-01,45769,6745,52514
2021-12-01,44716,2048,46764
2022-01-01,34382,1016,35398
2022-02-01,35310,1791,37101
2022-03-01,43683,9610,53293
2022-04-01,53853,115140,168993
2022-05-01,55579,274610,330189
2022-06-01,62783,436412,499195
2022-07-01,72071,548348,620419
2022-08-01,72567,514297,586864
2022-09-01,64655,435411,500066
2022-10-01,66598,263763,330361
2022-11-01,58808,8648,67456
2022-12-01,58556,2911,61467
2023-01-01,54855,2614,57469
2023-02-01,51968,2507,54475
2023-03-01,59712,13187,72899
2023-04-01,66001,126299,192300
2023-05-01,72295,300904,373199
2023-06-01,77266,466858,544124
2023-07-01,83282,588996,672278
2023-08-01,83014,542270,625284
2023-09-01,76278,478662,554940
2023-10-01,77097,282877,359974
2023-11-01,62357,11304,73661
2023-12-01,64668,3145,67813
2024-01-01,55805,2654,58459
2024-02-01,61477,2889,64366
2024-03-01,66727,9728,76455
2024-04-01,64224,122668,186892
2024-05-01,74020,337902,411922
2024-06-01,85143,518065,603208
2024-07-01,93481,621721,715202
2024-08-01,94426,589753,684179
2024-09-01,85597,508548,594145
2024-10-01,82922,325418,408340
2024-11-01,65559,12352,77911
2024-12-01,66943,4104,71047
2025-01-01,60640,3125,63765
2025-02-01,58200,2271,60471
2025-03-01,70459,5809,76268
2025-04-01,76383,122719,199102
2025-05-01,77429,358251,435680
2025-06-01,91230,527572,618802
2025-07-01,103276,645677,748953
2025-08-01,108500,621678,730178
2025-09-01,94332,520585,614917
2025-10-01,90532,353012,443544
2025-11-01,75907,11543,87450
2025-12-01,67619,4080,71699
2026-01-01,65490,3215,68705
2026-02-01,66379,3335,69714
2026-03-01,71196,12497,83693
2026-04-01,76903,155099,232002
2026-05-01,83464,422003,505467
2026-06-01,102770,558007,660777
