date,domestic,international,total
2016-01-01,189618,147478,337096
2016-02-01,196739,131742,328481
2016-03-01,212930,171307,384237
2016-04-01,187659,216709,404368
2016-05-01,197988,291596,489584
2016-06-01,190292,351923,542215
2016-07-01,220224,434211,654435
2016-08-01,208245,473843,682088
2016-09-01,208425,412439,620864
2016-10-01,195981,309689,505670
2016-11-01,205115,170708,375823
2016-12-01,209879,200841,410720
2017-01-01,177814,174885,352699
2017-02-01,183762,158900,342662
2017-03-01,197365,194294,391659
2017-04-01,173319,300647,473966
2017-05-01,180871,340641,521512
2017-06-01,205029,443705,648734
2017-07-01,229256,528969,758225
2017-08-01,229932,550271,780203
2017-09-01,217604,482054,699658
2017-10-01,196029,356955,552984
2017-11-01,182270,185595,367865
2017-12-01,179587,177760,357347
2018-01-01,157951,151674,309625
2018-02-01,157655,138879,296534
2018-03-01,186685,199784,386469
2018-04-01,184229,337670,521899
2018-05-01,193035,416518,609553
2018-06-01,196997,501034,698031
2018-07-01,225487,587074,812561
2018-08-01,225863,614369,840232
2018-09-01,218768,530317,749085
2018-10-01,197364,389441,586805
2018-11-01,197663,231266,428929
2018-12-01,192228,258318,450546
2019-01-01,173130,215256,388386
2019-02-01,168700,199188,367888
2019-03-01,190371,247186,437557
2019-04-01,167508,355836,523344
2019-05-01,174350,443915,618265
2019-06-01,185606,525423,711029
2019-07-01,209148,592666,801814
2019-08-01,200641,620556,821197
2019-09-01,195763,545244,741007
2019-10-01,170941,437003,607944
2019-11-01,164984,262228,427212
2019-12-01,163100,286588,449688
2020-01-01,153751,248065,401816
2020-02-01,148266,225299,373565
2020-03-01,66266,106399,172665
2020-04-01,2599,550,3149
2020-05-01,15113,554,15667
2020-06-01,53994,20937,74931
2020-07-01,110912,181561,292473
2020-08-01,119821,263471,383292
2020-09-01,89820,198648,288468
2020-10-01,73231,154072,227303
2020-11-01,14515,17457,31972
2020-12-01,25333,26702,52035
2021-01-01,30924,21326,52250
2021-02-01,29364,14993,44357
2021-03-01,35143,22083,57226
2021-04-01,44358,34426,78784
2021-05-01,73226,76792,150018
2021-06-01,119147,169836,288983
2021-07-01,171364,364611,535975
2021-08-01,183163,451540,634703
2021-09-01,154740,366201,520941
2021-10-01,142517,317530,460047
2021-11-01,129003,183757,312760
2021-12-01,132516,181098,313614
2022-01-01,97811,122788,220599
2022-02-01,106366,128441,234807
2022-03-01,129581,189332,318913
2022-04-01,155645,306015,461660
2022-05-01,166483,385458,551941
2022-06-01,183209,447325,630534
2022-07-01,204099,520744,724843
2022-08-01,197033,556215,753248
2022-09-01,189188,468839,658027
2022-10-01,171427,398199,569626
2022-11-01,158501,226101,384602
2022-12-01,165974,248401,414375
2023-01-01,153303,219230,372533
2023-02-01,154846,197237,352083
2023-03-01,175983,244212,420195
2023-04-01,184841,387962,572803
2023-05-01,182933,446195,629128
2023-06-01,202538,499573,702111
2023-07-01,226561,596840,823401
2023-08-01,208225,625617,833842
2023-09-01,216055,542090,758145
2023-10-01,199231,458759,657990
2023-11-01,185676,245654,431330
2023-12-01,189131,287265,476396
2024-01-01,164350,242005,406355
2024-02-01,171559,215861,387420
2024-03-01,185372,289534,474906
2024-04-01,191290,388397,579687
2024-05-01,206367,480270,686637
2024-06-01,215002,503821,718823
2024-07-01,241207,576717,817924
2024-08-01,225368,609406,834774
2024-09-01,225723,549248,774971
2024-10-01,216191,472711,688902
2024-11-01,198585,287912,486497
2024-12-01,192472,331696,524168
2025-01-01,179309,260645,439954
2025-02-01,178219,245834,424053
2025-03-01,195510,316265,511775
2025-04-01,202244,425033,627277
2025-05-01,204598,507776,712374
2025-06-01,225105,546893,771998
2025-07-01,242909,640168,883077
2025-08-01,229381,681162,910543
2025-09-01,236253,600131,836384
2025-10-01,221292,534809,756101
2025-11-01,211127,317868,528995
2025-12-01,220149,360118,580267
2026-01-01,192605,272721,465326
2026-02-01,190364,263867,454231
2026-03-01,206084,320657,526741
2026-04-01,207626,439303,646929
2026-05-01,203417,526073,729490
