year,domestic,international,total
2016,82859,192449,275308
2017,75284,262679,337963
2018,75026,331923,406949
2019,68328,254957,323285
2020,25767,46907,72674
2021,32708,116438,149146
2022,44361,207254,251615
2023,57267,247147,304414
2024,63702,230576,294278
2025,84137,234727,318864
