year,domestic,international,total
2016,68570,1351226,1419796
2017,83334,1576307,1659641
2018,91752,1709545,1801297
2019,94297,1716130,1810427
2020,27906,402349,430255
2021,57570,955343,1012913
2022,92725,1810679,1903404
2023,94949,1986982,2081931
2024,108192,2114819,2223011
2025,100149,2182625,2282774
