year,month,month_nr,domestic,international
2016,January,1,52899,332
2016,February,2,50045,418
2016,March,3,58970,5330
2016,April,4,65170,100726
2016,May,5,72216,431615
2016,June,6,75415,651621
2016,July,7,92571,876383
2016,August,8,104904,901496
2016,September,9,86246,724405
2016,October,10,72293,423651
2016,November,11,58444,6596
2016,December,12,60370,113
2017,January,1,55067,119
2017,February,2,51981,119
2017,March,3,59890,2124
2017,April,4,69846,135899
2017,May,5,73154,455026
2017,June,6,80636,715602
2017,July,7,93614,918562
2017,August,8,96386,933293
2017,September,9,87778,780996
2017,October,10,77418,477848
2017,November,11,62435,12948
2017,December,12,60254,228
2018,January,1,58488,198
2018,February,2,53263,8
2018,March,3,62885,10149
2018,April,4,64931,131826
2018,May,5,68386,563787
2018,June,6,72534,787816
2018,July,7,91162,961753
2018,August,8,93213,963395
2018,September,9,82341,835805
2018,October,10,69346,470776
2018,November,11,56007,12034
2018,December,12,56919,729
2019,January,1,50817,20
2019,February,2,46317,14
2019,March,3,54129,219
2019,April,4,63375,165904
2019,May,5,69957,530569
2019,June,6,74100,805090
2019,July,7,90511,945680
2019,August,8,94761,984575
2019,September,9,78217,809114
2019,October,10,68415,483839
2019,November,11,57128,12759
2019,December,12,56267,446
2020,January,1,52393,11
2020,February,2,47870,1
2020,March,3,26982,250
2020,April,4,1558,1
2020,May,5,7898,2
2020,June,6,25276,1
2020,July,7,44419,181763
2020,August,8,50322,388655
2020,September,9,37450,316368
2020,October,10,32759,296445
2020,November,11,14031,14280
2020,December,12,12027,361
2021,January,1,13238,10
2021,February,2,11769,27
2021,March,3,14155,64
2021,April,4,19619,694
2021,May,5,31579,50447
