Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,11361.0,10614.0,17363.0,17833.0,17649.0,5021.0,12263.0,18951.0,18847.0,21161.0,22455.0
Φεβρουάριος,10606.0,10114.0,13883.0,16995.0,16672.0,4161.0,12768.0,16248.0,18492.0,17833.0,20253.0
Μάρτιος,13320.0,12967.0,8600.0,19597.0,10214.0,4849.0,16544.0,20703.0,22124.0,22191.0,24691.0
Απρίλιος,35491.0,42501.0,45083.0,67585.0,718.0,6706.0,71183.0,72042.0,67638.0,77289.0,63948.0
Μάιος,194728.0,230544.0,313311.0,301963.0,2470.0,36204.0,282153.0,306578.0,340716.0,357832.0,352649.0
Ιούνιος,293400.0,373609.0,437312.0,442318.0,10480.0,124560.0,436529.0,470564.0,505165.0,503757.0,498935.0
Ιούλιος,399090.0,470677.0,522992.0,517649.0,118291.0,330177.0,554875.0,582144.0,586862.0,596593.0,
Αύγουστος,423310.0,479936.0,538382.0,554410.0,239504.0,424305.0,570623.0,596944.0,613506.0,631939.0,
Σεπτέμβριος,334136.0,399868.0,448236.0,432861.0,196108.0,330249.0,461068.0,493000.0,489681.0,516037.0,
Οκτώβριος,181924.0,248401.0,279263.0,263894.0,172341.0,269439.0,327150.0,330035.0,347101.0,367547.0,
Νοέμβριος,12418.0,21985.0,22286.0,22577.0,11631.0,21708.0,25581.0,26484.0,35955.0,39395.0,
Δεκέμβριος,12438.0,18815.0,19718.0,18962.0,4577.0,17139.0,20853.0,21026.0,23572.0,24489.0,
