year,domestic,international,total
2016,72197,474718,546915
2017,82058,547613,629671
2018,97614,664042,761656
2019,100958,673212,774170
2020,33762,158715,192477
2021,62874,240464,303338
2022,95971,721245,817216
2023,114155,746378,860533
2024,116607,755929,872536
2025,124382,769315,893697
