year,month,month_nr,domestic,international,total
2016,January,1,426,8,434
2016,February,2,590,0,590
2016,March,3,692,0,692
2016,April,4,1381,182,1563
2016,May,5,2698,29817,32515
2016,June,6,5929,60731,66660
2016,July,7,10553,91683,102236
2016,August,8,11606,101397,113003
2016,September,9,7347,71028,78375
2016,October,10,1592,5172,6764
2016,November,11,626,0,626
2016,December,12,769,0,769
2017,January,1,623,0,623
2017,February,2,811,0,811
2017,March,3,1358,0,1358
2017,April,4,1724,0,1724
2017,May,5,2928,32106,35034
2017,June,6,6262,70265,76527
2017,July,7,9981,94868,104849
2017,August,8,9624,102644,112268
2017,September,9,6127,73925,80052
2017,October,10,2200,6558,8758
2017,November,11,1036,0,1036
2017,December,12,1066,0,1066
2018,January,1,873,0,873
2018,February,2,923,0,923
2018,March,3,1259,11,1270
2018,April,4,1855,16,1871
2018,May,5,2965,32815,35780
2018,June,6,6340,75350,81690
2018,July,7,9916,98752,108668
2018,August,8,12071,107109,119180
2018,September,9,6779,69490,76269
2018,October,10,2935,6135,9070
2018,November,11,1239,0,1239
2018,December,12,1073,10,1083
2019,January,1,839,0,839
2019,February,2,915,0,915
2019,March,3,1173,0,1173
2019,April,4,2073,627,2700
2019,May,5,3470,38585,42055
2019,June,6,8283,72546,80829
2019,July,7,12552,100738,113290
2019,August,8,13224,105951,119175
2019,September,9,8480,66654,75134
2019,October,10,2093,5583,7676
2019,November,11,1345,0,1345
2019,December,12,1088,0,1088
2020,January,1,1056,0,1056
2020,February,2,1088,12,1100
2020,March,3,736,1,737
2020,April,4,47,0,47
2020,May,5,212,0,212
2020,June,6,949,0,949
2020,July,7,3898,12853,16751
2020,August,8,6174,30885,37059
2020,September,9,3420,23138,26558
2020,October,10,1157,2486,3643
2020,November,11,388,0,388
2020,December,12,416,0,416
2021,January,1,410,0,410
2021,February,2,432,0,432
2021,March,3,516,0,516
2021,April,4,665,0,665
2021,May,5,1623,611,2234
2021,June,6,4074,11757,15831
2021,July,7,7597,41072,48669
2021,August,8,8715,64825,73540
2021,September,9,5611,46444,52055
2021,October,10,2637,6632,9269
2021,November,11,1290,0,1290
2021,December,12,1096,0,1096
2022,January,1,812,0,812
2022,February,2,909,0,909
2022,March,3,1293,2,1295
2022,April,4,1985,970,2955
2022,May,5,3306,38165,41471
2022,June,6,7129,79883,87012
2022,July,7,10602,121408,132010
2022,August,8,10527,130539,141066
2022,September,9,7122,83135,90257
2022,October,10,3276,7578,10854
2022,November,11,1455,151,1606
2022,December,12,1359,5,1364
2023,January,1,1308,0,1308
2023,February,2,1215,0,1215
2023,March,3,1561,5,1566
2023,April,4,3043,860,3903
2023,May,5,4665,44129,48794
2023,June,6,7996,96720,104716
2023,July,7,11675,133751,145426
2023,August,8,11481,135412,146893
2023,September,9,8948,76528,85476
2023,October,10,4038,6618,10656
2023,November,11,1407,0,1407
2023,December,12,1484,0,1484
2024,January,1,1280,0,1280
2024,February,2,1311,0,1311
2024,March,3,1769,0,1769
2024,April,4,2625,2212,4837
2024,May,5,4386,49249,53635
2024,June,6,8564,104350,112914
2024,July,7,11211,136315,147526
2024,August,8,11715,137968,149683
2024,September,9,9172,98312,107484
2024,October,10,3748,13801,17549
2024,November,11,1375,204,1579
2024,December,12,1219,0,1219
2025,January,1,1191,0,1191
2025,February,2,1113,0,1113
2025,March,3,1656,0,1656
2025,April,4,3267,193,3460
2025,May,5,4502,45217,49719
2025,June,6,10373,110250,120623
2025,July,7,12683,149859,162542
2025,August,8,12654,151418,164072
2025,September,9,11237,102809,114046
2025,October,10,4074,13809,17883
2025,November,11,1487,186,1673
2025,December,12,1264,0,1264
2026,January,1,1303,0,1303
2026,February,2,1186,2,1188
2026,March,3,1622,153,1775
2026,April,4,3156,1511,4667
2026,May,5,5233,49604,54837
