year,domestic,international,total
2016,299483,2476030,2775513
2017,295745,2622205,2917950
2018,340288,3023853,3364141
2019,342844,2933120,3275964
2020,140471,820566,961037
2021,214211,1830493,2044704
2022,345115,3403991,3749106
2023,372412,3695641,4068053
2024,400216,3943532,4343748
2025,442979,4175831,4618810
