year,domestic,international,total
2016,349347,70623,419970
2017,332370,103626,435996
2018,344255,132801,477056
2019,362759,133818,496577
2020,191230,14865,206095
2021,238818,46526,285344
2022,329719,109466,439185
2023,375716,121783,497499
2024,385938,177605,563543
2025,405890,181954,587844
