year,domestic,international,total
2016,44209,360018,404227
2017,43740,380366,424106
2018,48228,389688,437916
2019,55535,390684,446219
2020,19541,69375,88916
2021,34666,171341,206007
2022,49775,461836,511611
2023,58821,494023,552844
2024,58375,542411,600786
2025,65501,573741,639242
