year,month,month_nr,domestic,international
2016,January,1,11361,0
2016,February,2,10606,0
2016,March,3,12925,395
2016,April,4,14795,20696
2016,May,5,16284,178444
2016,June,6,18490,274910
2016,July,7,29352,369738
2016,August,8,32714,390596
2016,September,9,19853,314283
2016,October,10,16068,165856
2016,November,11,12122,296
2016,December,12,12438,0
2017,January,1,10614,0
2017,February,2,10114,0
2017,March,3,12960,7
2017,April,4,16170,26331
2017,May,5,17541,213003
2017,June,6,22972,350637
2017,July,7,31396,439281
2017,August,8,33437,446499
2017,September,9,22317,377551
2017,October,10,19036,229365
2017,November,11,18413,3572
2017,December,12,18813,2
2018,January,1,17360,3
2018,February,2,13883,0
2018,March,3,8142,458
2018,April,4,19366,25717
2018,May,5,23084,290227
2018,June,6,26117,411195
2018,July,7,34686,488306
2018,August,8,37775,500607
2018,September,9,28038,420198
2018,October,10,23152,256111
2018,November,11,20404,1882
2018,December,12,19718,0
2019,January,1,17833,0
2019,February,2,16995,0
2019,March,3,19388,209
2019,April,4,20300,47285
2019,May,5,23623,278340
2019,June,6,25482,416836
2019,July,7,33402,484247
2019,August,8,37940,516470
2019,September,9,28082,404779
2019,October,10,22796,241098
2019,November,11,20170,2407
2019,December,12,18937,25
2020,January,1,17627,22
2020,February,2,16672,0
2020,March,3,10192,22
2020,April,4,693,25
2020,May,5,2470,0
2020,June,6,10300,180
2020,July,7,17495,100796
2020,August,8,21313,218191
2020,September,9,14693,181415
2020,October,10,13102,159239
2020,November,11,5260,6371
2020,December,12,4575,2
2021,January,1,5021,0
2021,February,2,4161,0
2021,March,3,4849,0
2021,April,4,6706,0
2021,May,5,11392,24812
2021,June,6,16268,108292
2021,July,7,23363,306814
2021,August,8,27981,396324
2021,September,9,19897,310352
2021,October,10,18977,250462
2021,November,11,18274,3434
2021,December,12,17139,0
2022,January,1,12263,0
2022,February,2,12768,0
2022,March,3,15700,844
2022,April,4,21636,49547
2022,May,5,20761,261392
2022,June,6,24758,411771
2022,July,7,31869,523006
2022,August,8,34167,536456
2022,September,9,24797,436271
2022,October,10,23335,303815
2022,November,11,20993,4588
2022,December,12,20853,0
2023,January,1,18951,0
2023,February,2,16248,0
2023,March,3,20142,561
2023,April,4,23871,48171
2023,May,5,23535,283043
2023,June,6,27990,442574
2023,July,7,36320,545824
2023,August,8,38660,558284
2023,September,9,30038,462962
2023,October,10,27014,303021
2023,November,11,21984,4500
2023,December,12,21022,4
2024,January,1,18838,9
2024,February,2,18488,4
2024,March,3,20803,1321
2024,April,4,24570,43068
2024,May,5,29501,311215
2024,June,6,29191,475974
2024,July,7,36574,550288
