year,month,month_nr,domestic,international
2016,January,1,27617,0
2016,February,2,34137,0
2016,March,3,46794,1669
2016,April,4,61101,16265
2016,May,5,96863,79556
2016,June,6,115565,124937
2016,July,7,123567,190637
2016,August,8,117476,206473
2016,September,9,120043,136973
2016,October,10,85661,51973
2016,November,11,37279,728
2016,December,12,31667,0
2017,January,1,27931,0
2017,February,2,29811,0
2017,March,3,42475,763
2017,April,4,74387,26059
2017,May,5,113786,87846
2017,June,6,132225,144910
2017,July,7,140470,206952
2017,August,8,133662,214056
2017,September,9,135898,160028
2017,October,10,110368,65558
2017,November,11,46231,2722
2017,December,12,34873,0
2018,January,1,30382,8
2018,February,2,30457,4
2018,March,3,49468,4178
2018,April,4,86114,40070
2018,May,5,134796,115200
2018,June,6,155363,180513
2018,July,7,159918,231734
2018,August,8,155062,230934
2018,September,9,163781,179001
2018,October,10,126345,83516
2018,November,11,54836,2544
2018,December,12,40350,504
2019,January,1,33832,96
2019,February,2,38146,207
2019,March,3,55579,1356
2019,April,4,103891,50278
2019,May,5,143386,117272
2019,June,6,160735,182183
2019,July,7,156887,229479
2019,August,8,154884,225711
2019,September,9,162170,174052
2019,October,10,135263,89141
2019,November,11,52317,1825
2019,December,12,31750,0
2020,January,1,29159,0
2020,February,2,28468,287
2020,March,3,17888,27
2020,April,4,542,0
2020,May,5,3482,0
2020,June,6,14110,54
2020,July,7,46452,53640
2020,August,8,65234,117829
2020,September,9,43966,77240
2020,October,10,26847,38444
2020,November,11,4569,1676
2020,December,12,3047,2
2021,January,1,4652,7
2021,February,2,3708,0
2021,March,3,5058,0
2021,April,4,9518,84
2021,May,5,24319,19111
2021,June,6,62550,89505
2021,July,7,107099,233555
2021,August,8,114705,292196
2021,September,9,97322,212842
2021,October,10,78144,133639
2021,November,11,33000,3865
2021,December,12,21705,0
2022,January,1,14245,0
2022,February,2,16060,0
2022,March,3,30660,3388
2022,April,4,79867,67210
2022,May,5,121772,152295
2022,June,6,151005,266388
2022,July,7,150988,375315
2022,August,8,147196,385109
2022,September,9,151529,286931
2022,October,10,124693,140800
2022,November,11,43625,5854
2022,December,12,29720,0
2023,January,1,25989,22
2023,February,2,25987,0
2023,March,3,43321,4279
2023,April,4,97505,62929
2023,May,5,158729,147414
2023,June,6,172570,239508
2023,July,7,163114,341776
2023,August,8,159217,340687
2023,September,9,170652,244815
2023,October,10,148973,131337
2023,November,11,58683,3474
2023,December,12,34824,0
2024,January,1,27965,0
2024,February,2,31558,0
2024,March,3,53887,2298
2024,April,4,118281,60665
2024,May,5,168475,149560
2024,June,6,177184,241678
2024,July,7,168180,341497
2024,August,8,163152,350903
2024,September,9,170792,254550
2024,October,10,153978,139644
2024,November,11,62541,2992
2024,December,12,37333,9
2025,January,1,18664,0
2025,February,2,25027,0
2025,March,3,39243,903
2025,April,4,87028,42232
2025,May,5,132996,116917
