Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,337096.0,352699.0,309625.0,388386.0,401816.0,52250.0,220599.0,372533.0,406355.0,439954.0,465326.0
Φεβρουάριος,328481.0,342662.0,296534.0,367888.0,373565.0,44357.0,234807.0,352083.0,387420.0,424053.0,454231.0
Μάρτιος,384237.0,391659.0,386469.0,437557.0,172665.0,57226.0,318913.0,420195.0,474906.0,511775.0,526741.0
Απρίλιος,404368.0,473966.0,521899.0,523344.0,3149.0,78784.0,461660.0,572803.0,579687.0,627277.0,646929.0
Μάιος,489584.0,521512.0,609553.0,618265.0,15667.0,150018.0,551941.0,629128.0,686637.0,712374.0,729491.0
Ιούνιος,542215.0,648734.0,698031.0,711029.0,74931.0,288983.0,630534.0,702111.0,718823.0,771998.0,833908.0
Ιούλιος,654435.0,758225.0,812561.0,801814.0,292473.0,535975.0,724843.0,823401.0,817924.0,883077.0,
Αύγουστος,682088.0,780203.0,840232.0,821197.0,383292.0,634703.0,753248.0,833842.0,834774.0,910543.0,
Σεπτέμβριος,620864.0,699658.0,749085.0,741007.0,288468.0,520941.0,658027.0,758145.0,774971.0,836384.0,
Οκτώβριος,505670.0,552984.0,586805.0,607944.0,227303.0,460047.0,569626.0,657990.0,688902.0,756101.0,
Νοέμβριος,375823.0,367865.0,428929.0,427212.0,31972.0,312760.0,384602.0,431330.0,486497.0,528995.0,
Δεκέμβριος,410720.0,357347.0,450546.0,449688.0,52035.0,313614.0,414375.0,476396.0,524168.0,580267.0,
