year,domestic,international,total
2016,881031,2085666,2966697
2017,831324,2211085,3042409
2018,646723,2362272,3008995
2019,672946,2310596,2983542
2020,295385,408097,703482
2021,454298,1340938,1795236
2022,678845,2611957,3290802
2023,828793,2819623,3648416
2024,896324,3055802,3952126
2025,974507,3176322,4150829
