year,domestic,international,total
2016,207008,1715214,1922222
2017,233783,2086248,2320031
2018,271725,2394704,2666429
2019,284948,2391696,2676644
2020,134392,666263,800655
2021,174028,1400490,1574518
2022,263900,2527690,2791590
2023,305775,2648944,2954719
2024,326182,2743477,3069659
2025,349422,2826641,3176063
