year,month,month_nr,domestic,international
2016,January,1,5584,292
2016,February,2,6404,0
2016,March,3,6642,6
2016,April,4,6829,408
2016,May,5,7453,18550
2016,June,6,7531,34186
2016,July,7,8686,46047
2016,August,8,8151,44451
2016,September,9,7788,38592
2016,October,10,6877,9903
2016,November,11,5595,0
2016,December,12,5319,14
2017,January,1,4589,161
2017,February,2,5136,2
2017,March,3,5858,14
2017,April,4,5991,5605
2017,May,5,6512,21053
2017,June,6,6683,43958
2017,July,7,7707,52793
2017,August,8,7002,55245
2017,September,9,6674,44567
2017,October,10,6781,13380
2017,November,11,6631,1320
2017,December,12,5720,24581
2018,January,1,6537,25891
2018,February,2,5446,20945
2018,March,3,5402,16703
2018,April,4,5261,4649
2018,May,5,5626,26252
2018,June,6,5924,49004
2018,July,7,7323,59627
2018,August,8,7014,60371
2018,September,9,7324,52058
2018,October,10,6531,15962
2018,November,11,6097,8
2018,December,12,6541,453
2019,January,1,5988,1683
2019,February,2,4651,0
2019,March,3,6381,0
2019,April,4,5376,1650
2019,May,5,5853,24002
2019,June,6,5265,48756
2019,July,7,6247,53910
2019,August,8,5834,62123
2019,September,9,5669,48034
2019,October,10,5823,14790
2019,November,11,5852,6
2019,December,12,5389,3
2020,January,1,4832,0
2020,February,2,4556,17
2020,March,3,1998,0
2020,April,4,226,1
2020,May,5,789,1
2020,June,6,1919,0
2020,July,7,2448,10253
2020,August,8,2712,20364
2020,September,9,2438,11988
2020,October,10,1573,4283
2020,November,11,1482,0
2020,December,12,794,0
2021,January,1,917,0
2021,February,2,805,0
2021,March,3,959,7
2021,April,4,1488,146
2021,May,5,2287,2803
2021,June,6,3232,12877
2021,July,7,4493,27749
2021,August,8,4130,38542
2021,September,9,3761,26518
2021,October,10,3478,7789
2021,November,11,3477,4
2021,December,12,3681,3
