date,domestic,international,total
2016-01-01,2159,0,2159
2016-02-01,2343,11,2354
2016-03-01,2294,217,2511
2016-04-01,3560,3643,7203
2016-05-01,5695,50189,55884
2016-06-01,7594,87670,95264
2016-07-01,14419,110740,125159
2016-08-01,15910,116242,132152
2016-09-01,9270,90630,99900
2016-10-01,4054,15371,19425
2016-11-01,2424,5,2429
2016-12-01,2475,0,2475
2017-01-01,1777,5,1782
2017-02-01,1681,0,1681
2017-03-01,2058,212,2270
2017-04-01,3545,5790,9335
2017-05-01,5326,54448,59774
2017-06-01,9875,98256,108131
2017-07-01,18326,122820,141146
2017-08-01,19671,137349,157020
2017-09-01,10728,103022,113750
2017-10-01,4629,25313,29942
2017-11-01,2200,398,2598
2017-12-01,2242,0,2242
2018-01-01,1893,0,1893
2018-02-01,2035,0,2035
2018-03-01,2668,2183,4851
2018-04-01,3853,13284,17137
2018-05-01,7374,73657,81031
2018-06-01,10966,122711,133677
2018-07-01,21469,144338,165807
2018-08-01,21852,152963,174815
2018-09-01,12711,122559,135270
2018-10-01,5998,32206,38204
2018-11-01,3406,136,3542
2018-12-01,3389,5,3394
2019-01-01,3087,6,3093
2019-02-01,3108,0,3108
2019-03-01,3578,0,3578
2019-04-01,3771,13449,17220
2019-05-01,6390,73283,79673
2019-06-01,11880,122436,134316
2019-07-01,20694,150518,171212
2019-08-01,22003,160984,182987
2019-09-01,12946,120398,133344
2019-10-01,6068,32131,38199
2019-11-01,3899,3,3902
2019-12-01,3534,4,3538
2020-01-01,3252,6,3258
2020-02-01,3242,0,3242
2020-03-01,1770,2,1772
2020-04-01,181,0,181
2020-05-01,765,0,765
2020-06-01,1926,0,1926
2020-07-01,5289,21593,26882
2020-08-01,8243,71989,80232
2020-09-01,4196,50907,55103
2020-10-01,2940,14215,17155
2020-11-01,969,0,969
2020-12-01,989,3,992
2021-01-01,1158,1,1159
2021-02-01,948,0,948
2021-03-01,1268,2,1270
2021-04-01,1630,2,1632
2021-05-01,3365,1005,4370
2021-06-01,6962,11698,18660
2021-07-01,11689,47026,58715
2021-08-01,14841,89929,104770
2021-09-01,9237,69697,78934
2021-10-01,5150,21104,26254
2021-11-01,3409,0,3409
2021-12-01,3217,0,3217
2022-01-01,2477,2,2479
2022-02-01,2517,4,2521
2022-03-01,2897,484,3381
2022-04-01,4787,10532,15319
2022-05-01,6713,63508,70221
2022-06-01,11913,125900,137813
2022-07-01,18705,173917,192622
2022-08-01,19573,181128,200701
2022-09-01,12917,129971,142888
2022-10-01,6438,35129,41567
2022-11-01,3551,666,4217
2022-12-01,3483,4,3487
2023-01-01,3228,2,3230
2023-02-01,2906,0,2906
2023-03-01,3567,638,4205
2023-04-01,5625,7942,13567
2023-05-01,7762,65549,73311
2023-06-01,14381,140089,154470
2023-07-01,21764,177876,199640
2023-08-01,23542,184406,207948
2023-09-01,15580,136419,151999
2023-10-01,7673,33454,41127
2023-11-01,4079,2,4081
2023-12-01,4048,1,4049
2024-01-01,3721,0,3721
2024-02-01,3426,0,3426
2024-03-01,3869,1,3870
2024-04-01,5628,6609,12237
2024-05-01,8995,68199,77194
2024-06-01,16780,141411,158191
2024-07-01,22430,180986,203416
2024-08-01,22691,189832,212523
2024-09-01,15617,135406,151023
2024-10-01,7893,32937,40830
2024-11-01,3362,544,3906
2024-12-01,2195,4,2199
2025-01-01,3719,0,3719
2025-02-01,3009,0,3009
2025-03-01,3866,8,3874
2025-04-01,6265,8873,15138
2025-05-01,8229,76310,84539
2025-06-01,18089,141466,159555
2025-07-01,23857,184376,208233
2025-08-01,24020,187451,211471
2025-09-01,18808,137939,156747
2025-10-01,8249,31906,40155
2025-11-01,2283,984,3267
2025-12-01,3988,2,3990
2026-01-01,3629,0,3629
2026-02-01,3184,2,3186
2026-03-01,4210,243,4453
2026-04-01,6658,6046,12704
2026-05-01,9935,76471,86406
